de_Subject,de_Predicate,de_Object,Triple_ID
die,ergibt,auf gerichts sich,Directive_2010_64_EU_de.pdf
richtlinie,erleichtert,dung,Directive_2010_64_EU_de.pdf
zu linie,zielt,ab recht,Directive_2010_64_EU_de.pdf
in rechte,sollten,im  2 gelten,Directive_2010_64_EU_de.pdf
zugunsten die,sollten,kosten,Directive_2010_64_EU_de.pdf
die,ist,-,Directive_2010_64_EU_de.pdf
die,kann,fest gestellt,Directive_2010_64_EU_de.pdf
in es,ware,nach zu gewahrleisten,Directive_2010_64_EU_de.pdf
linie,sollte,finden,Directive_2010_64_EU_de.pdf
-,Amtsblatt,-,Directive_2010_64_EU_de.pdf
-,1).(17,-,Directive_2010_64_EU_de.pdf
dolmetschleistungen,sollte,werden,Directive_2010_64_EU_de.pdf
raum,sollte,sollten,Directive_2010_64_EU_de.pdf
zwischen dolmetschleistungen,sollten,werden,Directive_2010_64_EU_de.pdf
uber zu die,sollten,werden,Directive_2010_64_EU_de.pdf
dies,sollten,ist verfahren,Directive_2010_64_EU_de.pdf
sie,sollten,unterstut,Directive_2010_64_EU_de.pdf
sie,beinhaltet,durch benoti,Directive_2010_64_EU_de.pdf
sie,sollten,konnen verfahren,Directive_2010_64_EU_de.pdf
dolmetschleistungen,sollten,im anzufechten,Directive_2010_64_EU_de.pdf
die,bringt,beeintrachtigen,Directive_2010_64_EU_de.pdf
behorden,sollten,zu erset,Directive_2010_64_EU_de.pdf
haben die,ist,effektiv zu verstandigen,Directive_2010_64_EU_de.pdf
sicherzustellen unter rechte,sollten,sind,Directive_2010_64_EU_de.pdf
mit  richtlinie,sollten,werden,Directive_2010_64_EU_de.pdf
gegebenenfalls sie,sollte,werden,Directive_2010_64_EU_de.pdf
-,L,-,Directive_2010_64_EU_de.pdf
erfor unterlagen,ist,gemass unterlagen ubersetzt,Directive_2010_64_EU_de.pdf
weise anordnung,soll,werden,Directive_2010_64_EU_de.pdf
datenbanken,sollten,auf rechtsterminologie erleichtern,Directive_2010_64_EU_de.pdf
mindestvorschriften,sollte besonderes,werden,Directive_2010_64_EU_de.pdf
von,sollten,lich schutzniveau,Directive_2010_64_EU_de.pdf
schutzniveau,sollte,fur union liegen,Directive_2010_64_EU_de.pdf
wie sie,sollten,umge werden,Directive_2010_64_EU_de.pdf
union,kann,vertrags uber vertrags werden,Directive_2010_64_EU_de.pdf
in verhaltnismassigkeit richtlinie,geht,uber,Directive_2010_64_EU_de.pdf
sie,haben,mochten,Directive_2010_64_EU_de.pdf
haben,beteiligt,durch richtlinie zu,Directive_2010_64_EU_de.pdf
-,ERLASSEN,-,Directive_2010_64_EU_de.pdf
-,Gegenstand,-,Directive_2010_64_EU_de.pdf
richtlinie,regelt,recht,Directive_2010_64_EU_de.pdf
sie,gilt,begangen,Directive_2010_64_EU_de.pdf
richtlinie,findet,nach rechtsmittels anwendung,Directive_2010_64_EU_de.pdf
-,Amtsblatt,-,Directive_2010_64_EU_de.pdf
richtlinie,beruhrt,rechtsbeistands wahrend rechtsbeistands stadiums,Directive_2010_64_EU_de.pdf
-,Recht,-,Directive_2010_64_EU_de.pdf
sicher die,.,einschliesslich wahrend zwischenverhandlungen zur gestellt,Directive_2010_64_EU_de.pdf
dies,stellen,ist verfahren,Directive_2010_64_EU_de.pdf
recht,umfasst,gemass unterstutzung,Directive_2010_64_EU_de.pdf
chen sie,stellen,unterstutzung,Directive_2010_64_EU_de.pdf
qualitat,stellen,dolmetschleistungen fur verfahrens sei,Directive_2010_64_EU_de.pdf
denn anwesenheit,konnen,dolmetschers ist,Directive_2010_64_EU_de.pdf
die,stellt,zur stellen,Directive_2010_64_EU_de.pdf
was,mussen,wahrzunehmen,Directive_2010_64_EU_de.pdf
-,Recht,-,Directive_2010_64_EU_de.pdf
zu gewahrleisten zu sie,stellen,zu gewahr,Directive_2010_64_EU_de.pdf
anord,gehoren,zu,Directive_2010_64_EU_de.pdf
dokumente,entscheiden,im daruber,Directive_2010_64_EU_de.pdf
personen,nen entsprechenden,stellen,Directive_2010_64_EU_de.pdf
wissen was,ist,wird,Directive_2010_64_EU_de.pdf
qualitat,stellen,ubersetzungen fur verfahrens sei,Directive_2010_64_EU_de.pdf
vom,stellt,dokuments zur stellen,Directive_2010_64_EU_de.pdf
-,L,-,Directive_2010_64_EU_de.pdf
ubersetzung,kann,entgegensteht,Directive_2010_64_EU_de.pdf
verzicht,unterliegt,unmissverstandlich erklart,Directive_2010_64_EU_de.pdf
was,mussen,wahrzunehmen,Directive_2010_64_EU_de.pdf
-,Kosten,-,Directive_2010_64_EU_de.pdf
mitgliedstaaten,kommen,vom gang,Directive_2010_64_EU_de.pdf
-,Qualitat,-,Directive_2010_64_EU_de.pdf
die,ergreifen konkrete,entsprechen,Directive_2010_64_EU_de.pdf
mitzurichten die,bemuhen,gister,Directive_2010_64_EU_de.pdf
sie,wird,werden,Directive_2010_64_EU_de.pdf
die,stellen,haben,Directive_2010_64_EU_de.pdf
verstandigung,fordern,auf verstandigung zu legen,Directive_2010_64_EU_de.pdf
haben,stellen,stattgefunden,Directive_2010_64_EU_de.pdf
zum mitgliedstaats das,ist,beschrankt,Directive_2010_64_EU_de.pdf
-,Umsetzung,-,Directive_2010_64_EU_de.pdf
in die,setzen,vorschriften,Directive_2010_64_EU_de.pdf
mitgliedstaaten,ubermitteln,wortlaut,Directive_2010_64_EU_de.pdf
lassen sie,nehmen,bezug,Directive_2010_64_EU_de.pdf
mitgliedstaaten,regeln,einzelheiten,Directive_2010_64_EU_de.pdf
-,Bericht,-,Directive_2010_64_EU_de.pdf
nahmen,ubermittelt,gegebenenfalls legislativvorschlage,Directive_2010_64_EU_de.pdf
-,Artikel,-,Directive_2010_64_EU_de.pdf
richtlinie,tritt,-,Directive_2010_64_EU_de.pdf
richtlinie,ist,-,Directive_2010_64_EU_de.pdf
-,Geschehen,-,Directive_2010_64_EU_de.pdf
-,Prasident,-,Directive_2010_64_EU_de.pdf
-,EU,-,Directive_2012_13_EU_de.pdf
-,RATES,-,Directive_2012_13_EU_de.pdf
-,gestutzt,-,Directive_2012_13_EU_de.pdf
union,hat,zum freiheit gesetzt,Directive_2012_13_EU_de.pdf
anerkennung,soll,schutz,Directive_2012_13_EU_de.pdf
am rat,hat,entscheidungen in  3 verabschiedet,Directive_2012_13_EU_de.pdf
-,heisst,auch verstarken  3,Directive_2012_13_EU_de.pdf
umsetzung,setzt,in an vertrauen,Directive_2012_13_EU_de.pdf
mass,hangt,an von,Directive_2012_13_EU_de.pdf
fur rechte die,gehoren,anwendung,Directive_2012_13_EU_de.pdf
nur justizbehorden,kann,justizbehorden anderer,Directive_2012_13_EU_de.pdf
dies,setzt,sondern auch voraus sondern in,Directive_2012_13_EU_de.pdf
im menschen recht,ist,auf verankert,Directive_2012_13_EU_de.pdf
artikel,gewahrleistet,charta achtung,Directive_2012_13_EU_de.pdf
in charta recht,ist,auf verankert,Directive_2012_13_EU_de.pdf
die,durfen,hinausgehen,Directive_2012_13_EU_de.pdf
immer al mass,sind,wird,Directive_2012_13_EU_de.pdf
zum verfahrensrechte die,bedarf,auf,Directive_2012_13_EU_de.pdf
-,Amtsblatt,-,Directive_2012_13_EU_de.pdf
-,-,-,Directive_2012_13_EU_de.pdf
artikel,sieht,vertrags uber union festlegung,Directive_2012_13_EU_de.pdf
in mindestvorschriften,werden,werden,Directive_2012_13_EU_de.pdf
was,sollten,justizbehorden in vertrauens fuhren,Directive_2012_13_EU_de.pdf
mindestvorschriften,sollten,werden,Directive_2012_13_EU_de.pdf
am rat,hat,im angenommen,Directive_2012_13_EU_de.pdf
zu ergreifen die,wird,mass,Directive_2012_13_EU_de.pdf
bedeutet reihenfolge,wird,kann,Directive_2012_13_EU_de.pdf
darin einzelmassnahmen,soll,worden,Directive_2012_13_EU_de.pdf
am rat,hat,zum programms europa,Directive_2012_13_EU_de.pdf
zu themen,betonte,zusammenarbeit,Directive_2012_13_EU_de.pdf
massnahme richtlinie,war,im fahrplans mass,Directive_2012_13_EU_de.pdf
richtlinie,bezieht,auf,Directive_2012_13_EU_de.pdf
gegenuber die,legt gemeinsame,vertrauen,Directive_2012_13_EU_de.pdf
richtlinie,baut,dabei charta artikel,Directive_2012_13_EU_de.pdf
in begriff,wird,tatvor verwendet,Directive_2012_13_EU_de.pdf
er,hat,bedeutungsinhalt,Directive_2012_13_EU_de.pdf
kommission,kundigte,vorschlags uber vorschlags uber,Directive_2012_13_EU_de.pdf
richtlinie,sollte,gelten,Directive_2012_13_EU_de.pdf
die,ist,-,Directive_2012_13_EU_de.pdf
die,kann,fest gestellt,Directive_2012_13_EU_de.pdf
in es,ware,nach zu gewahrleisten,Directive_2012_13_EU_de.pdf
richtlinie,sollte,finden,Directive_2012_13_EU_de.pdf
das,sollte,werden,Directive_2012_13_EU_de.pdf
nach die,sollten,fur verfahrenslehren,Directive_2012_13_EU_de.pdf
konnen belehrung,sollte,an verdachtigen erfolgen,Directive_2012_13_EU_de.pdf
in mindestvorschriften,werden,festgelegt,Directive_2012_13_EU_de.pdf
die,beruhrt,durch charta erteilt,Directive_2012_13_EU_de.pdf
so behorden,L,zu wiederholende,Directive_2012_13_EU_de.pdf
denn 1.brauchen dies,.,ist,Directive_2012_13_EU_de.pdf
im strafverfahrens freiheit,sollten,gerichtshofs fur men entzogen,Directive_2012_13_EU_de.pdf
verstandlich sie,sollten,dabei rechte,Directive_2012_13_EU_de.pdf
im strafverfahrens freiheit,sollte,gen,Directive_2012_13_EU_de.pdf
rechte,sollte grundlegende,auf zu stel,Directive_2012_13_EU_de.pdf
zu erleichtern rechte zu anhang,enthalt,muster,Directive_2012_13_EU_de.pdf
muster,enthalt,werden,Directive_2012_13_EU_de.pdf
rung,kann,umfassen,Directive_2012_13_EU_de.pdf
von,werden,in festgelegt,Directive_2012_13_EU_de.pdf
ausubung,sollte,verfahrens beeintrachtigen,Directive_2012_13_EU_de.pdf
richtlinie,beruhrt,bestimmungen,Directive_2012_13_EU_de.pdf
die,sollten,lassen,Directive_2012_13_EU_de.pdf
vorzubereiten die,sollten,verteidigung,Directive_2012_13_EU_de.pdf
deren sie,sollte,umgehend erfolgen,Directive_2012_13_EU_de.pdf
ausubung,sollte,verteidigungsrechte ermog verteidigungsrechtelicht,Directive_2012_13_EU_de.pdf
rechtzeitig und ausubung,sollte,verteidigungsrechte ermog verteidigungsrechtelicht,Directive_2012_13_EU_de.pdf
gegebenenfalls die,Dokumente,rechtmassig keit,Directive_2012_13_EU_de.pdf
rechtzeitig und aus,sollten,ermoglicht,Directive_2012_13_EU_de.pdf
im rechts die,sollte,gegebenenfalls umfassen,Directive_2012_13_EU_de.pdf
unterlagen,konnen,sich,Directive_2012_13_EU_de.pdf
konnten verweige,kann,werden,Directive_2012_13_EU_de.pdf
wobei stadien,muss,strafprozesses zu berucksichtigen,Directive_2012_13_EU_de.pdf
ist emrk vom,sollten,werden,Directive_2012_13_EU_de.pdf
recht,sollte,werden,Directive_2012_13_EU_de.pdf
nach mit gebuhren,sollte,an zu entrichten,Directive_2012_13_EU_de.pdf
verwal,sollten,einzufuhren,Directive_2012_13_EU_de.pdf
personen,sollten,nach anzufechten,Directive_2012_13_EU_de.pdf
in dessen versaumnis,zieht,werden,Directive_2012_13_EU_de.pdf
mitgliedstaaten,sollten,auf richtlinie durchfuhren,Directive_2012_13_EU_de.pdf
mitgliedstaaten,sollten,treffen,Directive_2012_13_EU_de.pdf
laie,konnte,rechte die,Directive_2012_13_EU_de.pdf
die,sollte,1 fest  1genommen,Directive_2012_13_EU_de.pdf
zu erleichtern zu anhang,enthalt,muster,Directive_2012_13_EU_de.pdf
muster,ist,werden,Directive_2012_13_EU_de.pdf
mit mindestvorschriften,werden,erlassen,Directive_2012_13_EU_de.pdf
von,konnen,ausdrucklich schutzniveau,Directive_2012_13_EU_de.pdf
schutzniveau,sollte,gerichtshofs fur gerichtshofs liegen,Directive_2012_13_EU_de.pdf
mit im die,steht,mit anerkannt,Directive_2012_13_EU_de.pdf
insbesondere recht,sollen,werden,Directive_2012_13_EU_de.pdf
sie,sollte,werden,Directive_2012_13_EU_de.pdf
wie sie,sollten,werden,Directive_2012_13_EU_de.pdf
union,kann,nieder vertrags werden,Directive_2012_13_EU_de.pdf
in ver richtlinie,geht,uber,Directive_2012_13_EU_de.pdf
sie,haben,mochten,Directive_2012_13_EU_de.pdf
richtlinie die,beteiligt,an,Directive_2012_13_EU_de.pdf
-,.,-,Directive_2012_13_EU_de.pdf
-,ERLASSEN,-,Directive_2012_13_EU_de.pdf
mit bestimmungen,werden,gegen festgelegt,Directive_2012_13_EU_de.pdf
haftbefehl,werden,festgelegt,Directive_2012_13_EU_de.pdf
-,Anwendungsbereich,-,Directive_2012_13_EU_de.pdf
verdachtige,gilt,begangen,Directive_2012_13_EU_de.pdf
so richtlinie,findet,nach rechtsbehelfs anwendung,Directive_2012_13_EU_de.pdf
-,Recht,-,Directive_2012_13_EU_de.pdf
sicher personen,stellen,recht auf recht uber,Directive_2012_13_EU_de.pdf
et bedurfnisse,gewahrleisten,verdachtiger berucksichtigt,Directive_2012_13_EU_de.pdf
-,Erklarung,-,Directive_2012_13_EU_de.pdf
wer,stellen,rechte erhalten,Directive_2012_13_EU_de.pdf
sie,erhalten,freiheitsentzugs in freiheitsentzugs fuhren,Directive_2012_13_EU_de.pdf
stunden  freiheitsentzug,enthalt,darf,Directive_2012_13_EU_de.pdf
erklarung,enthalt,zu antrag,Directive_2012_13_EU_de.pdf
erklarung,wird,in rechte abgefasst,Directive_2012_13_EU_de.pdf
musterbeispiel,ist,in rechte enthalten,Directive_2012_13_EU_de.pdf
sie,stellen,die,Directive_2012_13_EU_de.pdf
sie,belehrt,mundlich uber,Directive_2012_13_EU_de.pdf
sie,wird,ausgehandigt,Directive_2012_13_EU_de.pdf
-,Erklarung,-,Directive_2012_13_EU_de.pdf
mit rahmenbeschluss,stellen,im umgesetzt,Directive_2012_13_EU_de.pdf
erklarung,wird,in rechte abgefasst,Directive_2012_13_EU_de.pdf
musterbeispiel,ist,-,Directive_2012_13_EU_de.pdf
-,Recht,auf  uber,Directive_2012_13_EU_de.pdf
deren sie,stellen,verdachtigt,Directive_2012_13_EU_de.pdf
sores verfahren,erfolgt,verteidigungsrechte gewahrleistet,Directive_2012_13_EU_de.pdf
-,L,-,Directive_2012_13_EU_de.pdf
fur deren sie,stellen,unterrichtet,Directive_2012_13_EU_de.pdf
wird in,stellen,werden,Directive_2012_13_EU_de.pdf
dies,stellen,ist verfahren,Directive_2012_13_EU_de.pdf
-,Recht,-,Directive_2012_13_EU_de.pdf
zu die,stellen,werden,Directive_2012_13_EU_de.pdf
verteidigungsrechte,wird,werden,Directive_2012_13_EU_de.pdf
mitgliedstaaten in mitgliedstaaten verfahren,wird,werden,Directive_2012_13_EU_de.pdf
von,sicher,wird,Directive_2012_13_EU_de.pdf
einsichtnahme,wird,unentgelt gewahrt,Directive_2012_13_EU_de.pdf
-,-,-,Directive_2012_13_EU_de.pdf
per die,stellen,wird,Directive_2012_13_EU_de.pdf
personen,stellen,nach rechts anzufechten,Directive_2012_13_EU_de.pdf
die,fordern,auf richtlinie anzubieten,Directive_2012_13_EU_de.pdf
-,Regressionsverbot,-,Directive_2012_13_EU_de.pdf
nach mitgliedstaaten die,ist,beschrankt,Directive_2012_13_EU_de.pdf
-,Umsetzung,-,Directive_2012_13_EU_de.pdf
in die,setzen,vorschriften,Directive_2012_13_EU_de.pdf
mitgliedstaaten,ubermitteln,wortlaut,Directive_2012_13_EU_de.pdf
bei vorschriften mitgliedstaaten,nehmen,bezug,Directive_2012_13_EU_de.pdf
mit,regeln,einzelheiten,Directive_2012_13_EU_de.pdf
inwieweit mitgliedstaaten,ubermittelt,gegebenenfalls gesetzgebungsvorschlage,Directive_2012_13_EU_de.pdf
richtlinie,tritt,-,Directive_2012_13_EU_de.pdf
richtlinie,ist,-,Directive_2012_13_EU_de.pdf
-,Geschehen,-,Directive_2012_13_EU_de.pdf
-,Prasident,-,Directive_2012_13_EU_de.pdf
-,-,-,Directive_2012_13_EU_de.pdf
lediglich hilfestellung,soll,werden,Directive_2012_13_EU_de.pdf
mitgliedstaaten,sind,an musters gebunden,Directive_2012_13_EU_de.pdf
bei rechte mitgliedstaaten,konnen,anzupassen informationen,Directive_2012_13_EU_de.pdf
erklarung,muss,werden,Directive_2012_13_EU_de.pdf
dies,hindert,wahrend zukommen,Directive_2012_13_EU_de.pdf
sie,haben,festgenommen,Directive_2012_13_EU_de.pdf
sie,haben,zu sprechen,Directive_2012_13_EU_de.pdf
rechtsanwalt,ist,-,Directive_2012_13_EU_de.pdf
aufzunehmen sie,bitten,um,Directive_2012_13_EU_de.pdf
polizei,muss,sein,Directive_2012_13_EU_de.pdf
in hinzuziehung,kann,rechtsanwalts sein,Directive_2012_13_EU_de.pdf
sie,Bitten,um,Directive_2012_13_EU_de.pdf
tat sie,haben,verdachtigt,Directive_2012_13_EU_de.pdf
sprechen sie,haben,hinzuzuziehen,Directive_2012_13_EU_de.pdf
dolmetscher,kann,gesprachs vertraulich gesprachs behandeln,Directive_2012_13_EU_de.pdf
sie,haben,recht,Directive_2012_13_EU_de.pdf
richters mit richters festnahme,gehoren,in gestattet,Directive_2012_13_EU_de.pdf
unter sie,konnen,erhalten,Directive_2012_13_EU_de.pdf
durch sie,mussen,uber zur beantworten,Directive_2012_13_EU_de.pdf
rechtsanwalt,kann,bei helfen,Directive_2012_13_EU_de.pdf
sie,haben,gegen,Directive_2012_13_EU_de.pdf
wird sie,haben,recht,Directive_2012_13_EU_de.pdf
sie,sollten,mochten,Directive_2012_13_EU_de.pdf
in recht,kann,werden,Directive_2012_13_EU_de.pdf
polizei,wird,informieren,Directive_2012_13_EU_de.pdf
mit sie,teilen,mochten,Directive_2012_13_EU_de.pdf
auch mit sie,teilen,mochten,Directive_2012_13_EU_de.pdf
werden sie,haben,recht,Directive_2012_13_EU_de.pdf
mit sie,teilen,benotigen,Directive_2012_13_EU_de.pdf
nach freiheitsentzug,darf,dauern,Directive_2012_13_EU_de.pdf
der,mussen,entscheiden,Directive_2012_13_EU_de.pdf
sie,Erkundigen,zu antrag,Directive_2012_13_EU_de.pdf
-,9ANHANG,-,Directive_2012_13_EU_de.pdf
rechte fur rechte die,Musterbeispiel,auf haftbefehls festgenommen,Directive_2012_13_EU_de.pdf
lediglich hilfestellung,soll,werden,Directive_2012_13_EU_de.pdf
mitgliedstaaten,sind,an musters gebunden,Directive_2012_13_EU_de.pdf
bei rechte mitgliedstaaten,konnen,anzupassen informationen,Directive_2012_13_EU_de.pdf
sie,wurden,auf haftbefehls festgenommen,Directive_2012_13_EU_de.pdf
sie,haben,rechte,Directive_2012_13_EU_de.pdf
haftbefehls auf dessen sie,haben,zu werden,Directive_2012_13_EU_de.pdf
sie,haben,zu sprechen,Directive_2012_13_EU_de.pdf
rechtsanwalt,ist,-,Directive_2012_13_EU_de.pdf
aufzunehmen sie,bitten,um,Directive_2012_13_EU_de.pdf
polizei,muss,sein,Directive_2012_13_EU_de.pdf
in hinzuziehung,kann,rechtsanwalts sein,Directive_2012_13_EU_de.pdf
sie,Bitten,um,Directive_2012_13_EU_de.pdf
kostenlos von,haben,zu werden,Directive_2012_13_EU_de.pdf
dolmetscher,kann,gesprachs vertraulich gesprachs behandeln,Directive_2012_13_EU_de.pdf
sie,haben,haftbefehls in haftbefehls die,Directive_2012_13_EU_de.pdf
unter sie,konnen,erhalten,Directive_2012_13_EU_de.pdf
in sie,konnen,zustimmen,Directive_2012_13_EU_de.pdf
zustimmung,wurde,beschleunigen,Directive_2012_13_EU_de.pdf
mitgliedstaaten es,kann,entscheidung,Directive_2012_13_EU_de.pdf
sie,Bitten,um,Directive_2012_13_EU_de.pdf
von,haben,zu werden,Directive_2012_13_EU_de.pdf
-,EU,-,Directive_2013_48_EU_de.pdf
-,RATES,auf dritten mit,Directive_2013_48_EU_de.pdf
-,gestutzt,-,Directive_2013_48_EU_de.pdf
pakts uber ipbpr recht,ist,auf verankert,Directive_2013_48_EU_de.pdf
artikel,gewahrleistet,charta achtung,Directive_2013_48_EU_de.pdf
union,hat,zum freiheit gesetzt,Directive_2013_48_EU_de.pdf
anerkennung,soll,schutz,Directive_2013_48_EU_de.pdf
vertrags uber union aeuv zusammenarbeit,beruht,in auf,Directive_2013_48_EU_de.pdf
umsetzung,setzt,in an vertrauen,Directive_2013_48_EU_de.pdf
mass,hangt,an von,Directive_2013_48_EU_de.pdf
fur rechte die,gehoren,anwendung,Directive_2013_48_EU_de.pdf
allein mass,sind,wird,Directive_2013_48_EU_de.pdf
nur justizbehorden,kann,an entscheidungen,Directive_2013_48_EU_de.pdf
dies,setzt,nur vertrauen,Directive_2013_48_EU_de.pdf
zum verfahrensrechte die,bedarf,auf,Directive_2013_48_EU_de.pdf
dies,erfordert,ferner weiterentwicklung,Directive_2013_48_EU_de.pdf
-,Amtsblatt,-,Directive_2013_48_EU_de.pdf
artikel,sieht,festlegung,Directive_2013_48_EU_de.pdf
in mindestvorschriften,werden,werden,Directive_2013_48_EU_de.pdf
was,sollten,zur,Directive_2013_48_EU_de.pdf
gemein mindestvorschriften,sollten,werden,Directive_2013_48_EU_de.pdf
am rat,hat,in  1 angenommen,Directive_2013_48_EU_de.pdf
zu ergreifen die,wird,auf massnahme mit,Directive_2013_48_EU_de.pdf
kann,wird,den,Directive_2013_48_EU_de.pdf
darin einzelmassnahmen,soll,worden,Directive_2013_48_EU_de.pdf
am rat,hat,ihn,Directive_2013_48_EU_de.pdf
bisher sind massnahmen,betonte,worden,Directive_2013_48_EU_de.pdf
mit mindestvorschriften,werden,wahrendzugs festgelegt,Directive_2013_48_EU_de.pdf
fur europai der,stutzt,gleichzeitig anwendung,Directive_2013_48_EU_de.pdf
verdachtige,ist,recht dienste erlangen,Directive_2013_48_EU_de.pdf
in rechtsbeistand,sollte,konnen,Directive_2013_48_EU_de.pdf
die,sollten,uber,Directive_2013_48_EU_de.pdf
die,net,dazu einschliesslich verdachtige,Directive_2013_48_EU_de.pdf
die,ist,-,Directive_2013_48_EU_de.pdf
die,kann,nach festgestellt,Directive_2013_48_EU_de.pdf
in es,ware,-,Directive_2013_48_EU_de.pdf
-,.,leisten,Directive_2013_48_EU_de.pdf
richtlinie,sollte,finden,Directive_2013_48_EU_de.pdf
in zuwiderhandlungen,gelten bestimmte,insbesondere verkehrs gegen,Directive_2013_48_EU_de.pdf
in es,ware,nach zu gewahrleisten,Directive_2013_48_EU_de.pdf
richtlinie,sollte,finden,Directive_2013_48_EU_de.pdf
anwendungsbereich,sollte,lassen,Directive_2013_48_EU_de.pdf
verdachtige,sollten,zu erhalten,Directive_2013_48_EU_de.pdf
-,Verdachtigen,-,Directive_2013_48_EU_de.pdf
sie,wah,verzichtet,Directive_2013_48_EU_de.pdf
im strassenkontrolle verdachtiger,umfasst,worden,Directive_2013_48_EU_de.pdf
wird sie,sollte,zu verweigern,Directive_2013_48_EU_de.pdf
person,nimmt,bezug,Directive_2013_48_EU_de.pdf
wird befragung,sollte,werden,Directive_2013_48_EU_de.pdf
wurde ist sie,kann,uneingeschrankt ausuben,Directive_2013_48_EU_de.pdf
mit der,sollten,unter zusammenzutreffen,Directive_2013_48_EU_de.pdf
mitgliedstaaten,konnen praktische,ist,Directive_2013_48_EU_de.pdf
gewahrleisten an zu gewahrleisten dieses,konnen,sicherheit,Directive_2013_48_EU_de.pdf
prakti vorkehrungen,sollten,beeintrachtigen,Directive_2013_48_EU_de.pdf
mit der,sollten,zumunizieren,Directive_2013_48_EU_de.pdf
auch recht,kann,ausgeubt,Directive_2013_48_EU_de.pdf
mitgliedstaaten,konnen praktische,zur kommunikation treffen,Directive_2013_48_EU_de.pdf
vorkehrungen,sollten,zu kommunizieren zu beeintrachtigen,Directive_2013_48_EU_de.pdf
richtlinie,sollte,recht,Directive_2013_48_EU_de.pdf
von,sollte,befragt,Directive_2013_48_EU_de.pdf
effektiv ist sie,sollten,durch befragt,Directive_2013_48_EU_de.pdf
des,sollte,ausubung,Directive_2013_48_EU_de.pdf
-,Verdachtigen,union l,Directive_2013_48_EU_de.pdf
die,kann,werden,Directive_2013_48_EU_de.pdf
sind ist anwesenheit,haben,bei zugegen,Directive_2013_48_EU_de.pdf
in verdachtigen dies,umfasst,stellen,Directive_2013_48_EU_de.pdf
mitgliedstaaten,konnen praktische,treffen,Directive_2013_48_EU_de.pdf
ten,soll,rechte beeintrachtigen,Directive_2013_48_EU_de.pdf
so dies,sollte,werden,Directive_2013_48_EU_de.pdf
mitgliedstaaten,sollten,zu erleichtern rechtsbeistand,Directive_2013_48_EU_de.pdf
von,mussten,vertreten,Directive_2013_48_EU_de.pdf
von,sollte,vertreten,Directive_2013_48_EU_de.pdf
denn sie,sollten,verzichtet,Directive_2013_48_EU_de.pdf
sorgen unter de verdachtige,konnte,wahlen,Directive_2013_48_EU_de.pdf
vorkehrungen,konnten,fur umfassen,Directive_2013_48_EU_de.pdf
unter freiheit,soll,schranktgenden entsprechen,Directive_2013_48_EU_de.pdf
denen un freiheit,sollte,konnen,Directive_2013_48_EU_de.pdf
es,ist,zu erhalten zu abzuweichen,Directive_2013_48_EU_de.pdf
horden,sollten,in noch beweiserhebungshandlungen,Directive_2013_48_EU_de.pdf
dies,soll,sich,Directive_2013_48_EU_de.pdf
kungen,sollte,werden,Directive_2013_48_EU_de.pdf
befragung,konnen,verteidigungsrechte,Directive_2013_48_EU_de.pdf
befragung,darf,werden,Directive_2013_48_EU_de.pdf
missbrauch,wurde,irreparabel beeintrachtigen,Directive_2013_48_EU_de.pdf
-,6.11.2013(32,-,Directive_2013_48_EU_de.pdf
zu verhindern zuverfahren,sollte,wird,Directive_2013_48_EU_de.pdf
befragung,konnen,verteidigungsrechte,Directive_2013_48_EU_de.pdf
wer,darf,dafur strafverfahrens durchgefuhrt,Directive_2013_48_EU_de.pdf
33 vertraulichkeit,ist,beeintrach tigen,Directive_2013_48_EU_de.pdf
mitgliedstaaten,sollten,ohne rechts beachten,Directive_2013_48_EU_de.pdf
rechtsbeistand,lasst,ist,Directive_2013_48_EU_de.pdf
handeln,sollte,im richtlinie gelten,Directive_2013_48_EU_de.pdf
vorkehrungen,bedeutet,fur vertraulichkeit,Directive_2013_48_EU_de.pdf
chanismen,lasst,zwischen zu lesen,Directive_2013_48_EU_de.pdf
richtlinie,lasst,unberuhrt uber lassen,Directive_2013_48_EU_de.pdf
wonach artikels titel,sollte,ren,Directive_2013_48_EU_de.pdf
dies,sollten,verlauf,Directive_2013_48_EU_de.pdf
mitgliedstaaten,konnen,fur rechts treffen,Directive_2013_48_EU_de.pdf
vorkehrungen,sollten,rechtstrachtigen,Directive_2013_48_EU_de.pdf
rechts abzuweichen dies,sollte,vorubergehend von,Directive_2013_48_EU_de.pdf
mindestens von,sollten,etwa angehorigen zu kommunizieren,Directive_2013_48_EU_de.pdf
mit,konnen,sichts erfordernisse einschranken,Directive_2013_48_EU_de.pdf
wer,.,den,Directive_2013_48_EU_de.pdf
anderen von,sollten,konnten,Directive_2013_48_EU_de.pdf
mitgliedstaaten,konnen praktische,treffen,Directive_2013_48_EU_de.pdf
-,L,-,Directive_2013_48_EU_de.pdf
freiheit,ist,ver ubereinkommensankert,Directive_2013_48_EU_de.pdf
staaten,haben,danach recht,Directive_2013_48_EU_de.pdf
freiheit,konnen,in nehmen,Directive_2013_48_EU_de.pdf
die,gewahren,-,Directive_2013_48_EU_de.pdf
sie,sollten,restriktiv nutzen,Directive_2013_48_EU_de.pdf
ab,sollte,insgesamt beeintrachtigen,Directive_2013_48_EU_de.pdf
sie,sollten,nen uber verzichts auf,Directive_2013_48_EU_de.pdf
verzicht,sollten,werden,Directive_2013_48_EU_de.pdf
