fr_Subject,fr_Predicate,fr_Object,Triple_ID
droite,limite,votre detention,directive_2012_13_eu_en.txt
police,informer,de cela,directive_2012_13_eu_en.txt
autorisation consulaire de vouloir,dire,votre detention informee,directive_2012_13_eu_en.txt
toi,dire,autorite consulaire,directive_2012_13_eu_en.txt
vous a arrete,ont,Assistance medicale,directive_2012_13_eu_en.txt
te connais,laisser,une telle aide,directive_2012_13_eu_en.txt
-,-,de liberte,directive_2012_13_eu_en.txt
toi,prive de,heures jours,directive_2012_13_eu_en.txt
OMS,libere,nouvelle detention,directive_2012_13_eu_en.txt
-,demander,liberation provisoire,directive_2012_13_eu_en.txt
-,-,du mandat d'arret europeen,directive_2012_13_eu_en.txt
toi,arrete le,du mandat d'arret europeen,directive_2012_13_eu_en.txt
toi,ont,dont,directive_2012_13_eu_en.txt
toi,ont,en langue,directive_2012_13_eu_en.txt
toi,consentement,te chercher,directive_2012_13_eu_en.txt
votre consentement,vitesse,procedure,directive_2012_13_eu_en.txt
il,etre difficile,stade ulterieur,directive_2012_13_eu_en.txt
toi,ont,autorite judiciaire,directive_2012_13_eu_en.txt
approximation necessaire,faciliter,droits individuels,directive_2013_48_eu_en.txt
cooperation judiciaire,base sur,des jugements,directive_2013_48_eu_en.txt
Etats membres,presuppose,systemes de justice penale,directive_2013_48_eu_en.txt
qui,est,reconnaissance mutuelle,directive_2013_48_eu_en.txt
ce,montre,autres Etats membres,directive_2013_48_eu_en.txt
regle aussi,fonctionner,regles,directive_2013_48_eu_en.txt
renforcement,necessite des details,de la charte,directive_2013_48_eu_en.txt
il,a besoin,echr,directive_2013_48_eu_en.txt
2 articles,enchasser,proces equitable,directive_2013_48_eu_en.txt
article,garanties,de defense,directive_2013_48_eu_en.txt
syndicat,ensemble,de liberte,directive_2013_48_eu_en.txt
dont le principe,devenir,reconnaissance mutuelle,directive_2013_48_eu_en.txt
fr journal officiel,prevoit pour,cote de bordure,directive_2013_48_eu_en.txt
regles minimales,fait reference a,dans lequel,directive_2013_48_eu_en.txt
qui,mener a,en union,directive_2013_48_eu_en.txt
regles minimales,retirer,des Etats membres,directive_2013_48_eu_en.txt
tierce personne,etabli en,de liberte,directive_2013_48_eu_en.txt
conseil de 2009,adopte,feuille de route,directive_2013_48_eu_en.txt
accuse qui,appels pour,pour les suspects de mesure,directive_2013_48_eu_en.txt
donc indicatif,souligne,avec des priorites,directive_2013_48_eu_en.txt
ses avantages,ressenti dans,comme concu ensemble,directive_2013_48_eu_en.txt
il,accueilli,au service des citoyens,directive_2013_48_eu_en.txt
autres issues,souligne,dans la zone,directive_2013_48_eu_en.txt
deux mesures,adopte en vertu,procedure penale,directive_2013_48_eu_en.txt
tiers du mandat d'arret,pose,de liberte,directive_2013_48_eu_en.txt
qui,favorise,a l'avocat,directive_2013_48_eu_en.txt
necessite un suspect,fournit,assistance legale,directive_2013_48_eu_en.txt
avocats,etre capable,de defense,directive_2013_48_eu_en.txt
qui,considere,de directive,directive_2013_48_eu_en.txt
accuse qui,mis en oeuvre,a l'avocat,directive_2013_48_eu_en.txt
OMS,fait reference a,aux suspects,directive_2013_48_eu_en.txt
autorite,a,infractions mineures,directive_2013_48_eu_en.txt
qui,etre,apres le controle du trafic,directive_2013_48_eu_en.txt
les autorites,assurer,sous directive,directive_2013_48_eu_en.txt
directif,appliquer,apres appel,directive_2013_48_eu_en.txt
infractions mineures,considere,reglements municipaux,directive_2013_48_eu_en.txt
autorites deraisonnables competentes,etre deraisonnable,sous directive,directive_2013_48_eu_en.txt
directif,appliquer,affaires criminelles,directive_2013_48_eu_en.txt
18 portee,affecter,de l'avocat,directive_2013_48_eu_en.txt
suspects,assurer,avec directives,directive_2013_48_eu_en.txt
ils,accorde,droit renonce,directive_2013_48_eu_en.txt
personne suspecte,inclure preliminaire,controles aleatoires,directive_2013_48_eu_en.txt
personne suspecte,protege contre,des droits de l'homme,directive_2013_48_eu_en.txt
ou personne,rend express,procedure penale,directive_2013_48_eu_en.txt
294/3 interrogatoire,suspendu,personne suspecte,directive_2013_48_eu_en.txt
il,a continue,dans la directive,directive_2013_48_eu_en.txt
22 suspects,ont,les representer,directive_2013_48_eu_en.txt
Etats membres,rendre pratique,de cas,directive_2013_48_eu_en.txt
ou rencontre,rendre pratique,en place,directive_2013_48_eu_en.txt
dispositions pratiques,prejudice,leur avocat,directive_2013_48_eu_en.txt
23 suspects,ont,les representer,directive_2013_48_eu_en.txt
une telle communication,prendre,rencontrer un avocat,directive_2013_48_eu_en.txt
ces communications communications,rendre pratique,prend place,directive_2013_48_eu_en.txt
directif,prevenir,par telephone,directive_2013_48_eu_en.txt
personne suspecte,limite a,autorite chargee de l'application de la loi,directive_2013_48_eu_en.txt
"lorsqu'ils sont presents, ils",assurer,lors des audiences du tribunal,directive_2013_48_eu_en.txt
de telles procedures,etre dans,de droit,directive_2013_48_eu_en.txt
personne suspecte,organiser,a partir duquel,directive_2013_48_eu_en.txt
de telles dispositions,inclure,l'aide juridique,directive_2013_48_eu_en.txt
qui,.,loi nationale,directive_2013_48_eu_en.txt
-,26,-,directive_2013_48_eu_en.txt
pour l'instant suspects,ont,loi nationale,directive_2013_48_eu_en.txt
crime,inclure,personne suspecte,directive_2013_48_eu_en.txt
Etats membres,rendre pratique,actes de preuve,directive_2013_48_eu_en.txt
dispositions pratiques,prejudice,des droits,directive_2013_48_eu_en.txt
ce,indique,de l'Etat membre,directive_2013_48_eu_en.txt
ce,effort,par des suspects,directive_2013_48_eu_en.txt
ils,besoin,avocat arrange,directive_2013_48_eu_en.txt
suspect,etre capable,avocat librement capable,directive_2013_48_eu_en.txt
ils,faire,droit renonce,directive_2013_48_eu_en.txt
suspects,impliquer,des droits de l'homme,directive_2013_48_eu_en.txt
personne,etre capable,de liberte,directive_2013_48_eu_en.txt
Etats membres,permis,de liberte,directive_2013_48_eu_en.txt
autorites competentes,question,dans la directive,directive_2013_48_eu_en.txt
video ceci,organiser,par telephone,directive_2013_48_eu_en.txt
31 Etats membres,permis,de personne,directive_2013_48_eu_en.txt
un tel questionnement,question,contre l'auto-incrimination,directive_2013_48_eu_en.txt
ce,porte,de personne,directive_2013_48_eu_en.txt
abus,prejudice,de defense,directive_2013_48_eu_en.txt
-,6.11.2013,-,directive_2013_48_eu_en.txt
Action immediate,permis,avec temoins,directive_2013_48_eu_en.txt
un tel questionnement,question,contre l'auto-incrimination,directive_2013_48_eu_en.txt
ce,porte,procedure penale,directive_2013_48_eu_en.txt
confidentialite,C est la cle,proces equitable,directive_2013_48_eu_en.txt
Etats membres,respect,sans derogation,directive_2013_48_eu_en.txt
avocat,est sans,infraction penale,directive_2013_48_eu_en.txt
activite criminelle,considere,de directive,directive_2013_48_eu_en.txt
arrangements,implique,respecter la confidentialite,directive_2013_48_eu_en.txt
autoriser les autorites competentes,est sans,entre suspects,directive_2013_48_eu_en.txt
a la correspondance,est,tribunal soumis competent,directive_2013_48_eu_en.txt
qui,etre sans,autorites competentes,directive_2013_48_eu_en.txt
titre v,etre sans,Securite interne,directive_2013_48_eu_en.txt
a condition que cela,ont,contre personne,directive_2013_48_eu_en.txt
Etats membres,rendre pratique,de droit,directive_2013_48_eu_en.txt
dispositions pratiques,prejudice,de droit,directive_2013_48_eu_en.txt
quand cela,etre possible,dans la directive,directive_2013_48_eu_en.txt
a la troisieme personne,considerer,de liberte,directive_2013_48_eu_en.txt
36 suspects,ont,les a nommes,directive_2013_48_eu_en.txt
Etats membres,limite,exigences imperatives,directive_2013_48_eu_en.txt
de telles exigences,inclure,de la criminalite,directive_2013_48_eu_en.txt
premiers suspects,considerer,les a nommes,directive_2013_48_eu_en.txt
avocat,rendre pratique,declarations,directive_2013_48_eu_en.txt
avocat,indique,de l'Etat membre,directive_2013_48_eu_en.txt
ou il,inscrit dans,leurs ressortissants,directive_2013_48_eu_en.txt
accuse qui,confere,leurs souhaits,directive_2013_48_eu_en.txt
ces autorites,exerce par la diplomatie,autorites consulaires,directive_2013_48_eu_en.txt
personnes demandees,ont,Etat membre d'execution,directive_2013_48_eu_en.txt
ou rencontre,rendre pratique,entre avocat,directive_2013_48_eu_en.txt
une telle communication,etre possible,avec avocat,directive_2013_48_eu_en.txt
de telles communications,rendre pratique,prend place,directive_2013_48_eu_en.txt
de telles dispositions,regie par des,loi nationale,directive_2013_48_eu_en.txt
personnes demandees,impliquer,a partir duquel,directive_2013_48_eu_en.txt
ils,ensemble,derogations temporaires,directive_2013_48_eu_en.txt
derogations temporaires,etre proportionnel,de la procedure,directive_2013_48_eu_en.txt
pas de decision,assurer,pendant la phase d'essai,directive_2013_48_eu_en.txt
a condition qu'ils,etre capable,de renoncer au droit,directive_2013_48_eu_en.txt
conditions particulieres,pris dans,leur age,directive_2013_48_eu_en.txt
il,indique,de l'Etat membre,directive_2013_48_eu_en.txt
Etats membres,mener a,fardeau administratif,directive_2013_48_eu_en.txt
quand c'est bon,etre necessaire,pendant la periode,directive_2013_48_eu_en.txt
-,personnes assujetties,mandat d'arret europeen,directive_2013_48_eu_en.txt
Leur permettre,ont,au titre de la decision-cadre,directive_2013_48_eu_en.txt
ou avocat,information,dans un Etat membre,directive_2013_48_eu_en.txt
OMS,inclure,cas de mandat d'arret europeen,directive_2013_48_eu_en.txt
association du barreau appropriee,demande,tirage au sort,directive_2013_48_eu_en.txt
-,47,-,directive_2013_48_eu_en.txt
procedure de remise,est crucial,entre les Etats membres,directive_2013_48_eu_en.txt
observance,est essentiel,une cooperation aussi essentielle,directive_2013_48_eu_en.txt
delais,respecte,procedure de mandat d'arret europeen,directive_2013_48_eu_en.txt
accuse qui,sous-tend,de la justice,directive_2013_48_eu_en.txt
garantir les droits,faciliter,prendre les mesures appropriees,directive_2013_48_eu_en.txt
52 directive,soutient,de defense,directive_2013_48_eu_en.txt
directif,mis en oeuvre dans,avec droits,directive_2013_48_eu_en.txt
ou ils,assurer,des droits de l'homme,directive_2013_48_eu_en.txt
54 directive,ensembles,regles minimales,directive_2013_48_eu_en.txt
Etats membres,etendre,de protection,directive_2013_48_eu_en.txt
regles minimales,constituer,ce,directive_2013_48_eu_en.txt
niveau,tomber en dessous,des droits de l'homme,directive_2013_48_eu_en.txt
directif,favorise,donne des enfants,directive_2013_48_eu_en.txt
une telle renonciation,assure,sous directive,directive_2013_48_eu_en.txt
est titulaire,notifie,avec des raisons,directive_2013_48_eu_en.txt
adulte convenable,informe,comme relatif,directive_2013_48_eu_en.txt
ce,etre sans,aux dispositions,directive_2013_48_eu_en.txt
qui,appliquer,des droits de l'homme,directive_2013_48_eu_en.txt
ce,mettre dedans,directif,directive_2013_48_eu_en.txt
droits,assurer,de la procedure,directive_2013_48_eu_en.txt
declarations prejudiciables incriminantes,devait,pour condamnation,directive_2013_48_eu_en.txt
ou l'acces,etre sans,crime grave,directive_2013_48_eu_en.txt
preuves existantes,etre sans,une telle preuve,directive_2013_48_eu_en.txt
ceux qui,-,d'enfant,directive_2013_48_eu_en.txt
sont qui,se retenir de,circonstances,directive_2013_48_eu_en.txt
enfant applique,detenu au secret,des enfants,directive_2013_48_eu_en.txt
-,56,-,directive_2013_48_eu_en.txt
1 Etats membres,entreprise,instruments nationaux de transposition,directive_2013_48_eu_en.txt
transmission,considere,de tels documents,directive_2013_48_eu_en.txt
syndicat,adopter,5 evp,directive_2013_48_eu_en.txt
au-dela de quoi,aller au-dela,atteindre les objectifs,directive_2013_48_eu_en.txt
Etats membres,prise,son application,directive_2013_48_eu_en.txt
Danemark,prise,son application,directive_2013_48_eu_en.txt
-,adopte,directif,directive_2013_48_eu_en.txt
tierce personne,pose,de liberte,directive_2013_48_eu_en.txt
d'eux,s'applique a,prive de liberte,directive_2013_48_eu_en.txt
personne suspecte,s'applique jusqu'a,d'appel,directive_2013_48_eu_en.txt
directif,s'applique a,avec articles,directive_2013_48_eu_en.txt
accuse qui,s'applique,autorite chargee de l'application de la loi,directive_2013_48_eu_en.txt
directif,postuler a,affaires criminelles,directive_2013_48_eu_en.txt
-,-,de l'union europeenne,directive_2013_48_eu_en.txt
personne suspecte,appliquer,procedure penale,directive_2013_48_eu_en.txt
-,article,de la criminalite,directive_2013_48_eu_en.txt
permettre aux personnes,assurer,de defense,directive_2013_48_eu_en.txt
informations generales,effort,par des suspects,directive_2013_48_eu_en.txt
2 suspects,ont,retard injustifie,directive_2013_48_eu_en.txt
ils,3,devant le tribunal,directive_2013_48_eu_en.txt
leur avocat,entrainer,l'accuse a le droit,directive_2013_48_eu_en.txt
personne suspecte,assurer,loi,directive_2013_48_eu_en.txt
le fait,deroger a,de liberte,directive_2013_48_eu_en.txt
Action immediate,deroger a,procedure penale,directive_2013_48_eu_en.txt
confidentialite etats membres,respect,sous directive,directive_2013_48_eu_en.txt
une telle communication,inclure,loi nationale,directive_2013_48_eu_en.txt
a la troisieme personne,article,de liberte,directive_2013_48_eu_en.txt
ils,assurer,retard injustifie,directive_2013_48_eu_en.txt
cas approprie adulte,assurer,d'enfant,directive_2013_48_eu_en.txt
personne,considere,18 ans,directive_2013_48_eu_en.txt
. Etats membres,cation de,raisons imperieuses,directive_2013_48_eu_en.txt
2 suspects,ont,des suspects,directive_2013_48_eu_en.txt
droits,reglemente par la legislation nationale,Pour qui,directive_2013_48_eu_en.txt
procedure penale,est,prevenir est une situation necessaire,directive_2013_48_eu_en.txt
autorite,assurer,d'enfant,directive_2013_48_eu_en.txt
-,base,de la procedure,directive_2013_48_eu_en.txt
-,article,tiers,directive_2013_48_eu_en.txt
accuse qui,assurer,les a nommes,directive_2013_48_eu_en.txt
decision,autorise,une revue judiciaire,directive_2013_48_eu_en.txt
decision motivee,enregistre,de l'Etat membre,directive_2013_48_eu_en.txt
. Etats membres,limite,exigences imperatives,directive_2013_48_eu_en.txt
decision,.,une revue judiciaire,directive_2013_48_eu_en.txt
-,article,autorites consulaires,directive_2013_48_eu_en.txt
ils,assurer,avec les autorites,directive_2013_48_eu_en.txt
ils,choisir,avec qui,directive_2013_48_eu_en.txt
b renonciation,assurer,de l'union europeenne,directive_2013_48_eu_en.txt
renoncer,indique,de l'Etat membre,directive_2013_48_eu_en.txt
ils,assurer,sur la possibilite,directive_2013_48_eu_en.txt
il,ont,des l'instant,directive_2013_48_eu_en.txt
-,je,Etat membre emetteur,directive_2013_48_eu_en.txt
autorite competente,fournir,en designant un avocat,directive_2013_48_eu_en.txt
personne,est sans,au titre de la decision-cadre,directive_2013_48_eu_en.txt
-,article,procedure de mandat d'arret europeen,directive_2013_48_eu_en.txt
qui,est sans,avec charte,directive_2013_48_eu_en.txt
personne demandee,assurer,mandat d'arret europeen,directive_2013_48_eu_en.txt
leur avocat,ont,autorite judiciaire,directive_2013_48_eu_en.txt
derogation temporaire,droits,Etat membre d'execution,directive_2013_48_eu_en.txt
ils,informer,Etat membre emetteur,directive_2013_48_eu_en.txt
role,est,au titre de la decision-cadre,directive_2013_48_eu_en.txt
suspects,assurer,sous directive,directive_2013_48_eu_en.txt
3(6 droits,assurer,de la procedure,directive_2013_48_eu_en.txt
besoins particuliers,assurer,de directive,directive_2013_48_eu_en.txt
-,clause,-,directive_2013_48_eu_en.txt
qui,interprete comme,de protection,directive_2013_48_eu_en.txt
autorite competente,informer,competent 1,directive_2013_48_eu_en.txt
Etats membres,Amener dans,27 novembre,directive_2013_48_eu_en.txt
ils,informer,commission immediate,directive_2013_48_eu_en.txt
ils,contenir,publication officielle,directive_2013_48_eu_en.txt
methodes,pose,Etats membres,directive_2013_48_eu_en.txt
ils,communiquer a,directive couverte,directive_2013_48_eu_en.txt
Etats membres,soumettre,propositions legislatives,directive_2013_48_eu_en.txt
directif,entrer dans,de l'union europeenne,directive_2013_48_eu_en.txt
18 destinataires,adressee a,avec des traites,directive_2013_48_eu_en.txt
-,fait a,a strasbourg,directive_2013_48_eu_en.txt
-,president pour,pour le conseil,directive_2013_48_eu_en.txt
