de_Subject,de_Predicate,de_Object,Triple_ID,de_Subject_concept,de_Predicate_concept,de_Object_concept
andere Taten,bereitgestellt fur,zum Punkt von Absatz 4,directive_(eu)_2016_800_en.txt,-,-,-
Behorden,verschieben,Befragung des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"angemessenen Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"Zeitspanne, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"angemessenen Zeitraum, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"angemessenen Zeitraum, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"angemessene Frist, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"angemessenen Zeitraum, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,fur Punkt,directive_(eu)_2016_800_en.txt,-,-,-
kompetente Autoritaten,verschieben,Befragung,directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"angemessene Frist, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,angemessenen Zeitraum,directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"Zeitraum, um zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Kind,Ist,Wo Sie von einem Anwalt unterstutzt werden konnen,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,C,directive_(eu)_2016_800_en.txt,-,-,-
Behorden,Befragung von,Kind,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,fur Punkt,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"Zeitraum, um zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,Zeitraum,directive_(eu)_2016_800_en.txt,-,-,-
kompetente Autoritaten,Befragung von,Kind,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"Frist, um die Anreise zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"Frist, um die Anreise zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,angemessener Zeitraum,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"Zeitspanne, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"angemessenen Zeitraum, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Kind,Ist,anwaltlich unterstutzt,directive_(eu)_2016_800_en.txt,-,-,-
Kind,Ist,wo von einem Anwalt unterstutzt,directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,Zeitspanne,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,angemessener Zeitraum,directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"angemessenen Zeitraum, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"angemessenen Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Behorden,verschieben,Befragung,directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,Zeitspanne,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"Zeitspanne, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"angemessene Frist, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,C,directive_(eu)_2016_800_en.txt,-,-,-
angemessener Zeitraum,ist in,Befehl,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"Zeitraum, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"Zeitraum, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,zum Punkt von Absatz 4,directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"angemessenen Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,bereitgestellt fur,"Zeitspanne, um die Ankunft zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,bereitgestellt fur,"angemessenen Zeitraum, um dies zu ermoglichen",directive_(eu)_2016_800_en.txt,-,-,-
kompetente Autoritaten,verschieben,Befragung des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung der in Absatz 3 vorgesehenen Rechte im gerechtfertigten Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Antrag gemass Absatz 3,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,einzige Buhne,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung der in Absatz 3 vorgesehenen Rechte,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Antrag bereitgestellt,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Ausubung der gewahrten Rechte im gerechtfertigten Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Der Antrag wird in einem sachlich gerechtfertigten Umfang gestellt,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung gemass Absatz 3 im Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung der in Absatz 3 vorgesehenen Rechte im gerechtfertigten Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann abweichen,aussergewohnliche Umstande,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Der Antrag wird in einem sachlich gerechtfertigten Umfang gestellt,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Umstande,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Ausubung der gewahrten Rechte im gerechtfertigten Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Ausubung der eingeraumten Rechte in vollem Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Buhne,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Antrag bereitgestellt,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung der gewahrten Rechte in einem im Licht gerechtfertigten Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung von Rechten,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Antrag nur in begrundetem Umfang gestellt,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung der gewahrten Rechte,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Buhne,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,nur Vorverfahrensphase,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung der gewahrten Rechte,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Ausubung der eingeraumten Rechte in vollem Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,nur Vorverfahrensphase,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung von Rechten,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung der gewahrten Rechte in einem im Licht gerechtfertigten Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Vorverfahrensphase,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung soweit vorgesehen,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung soweit vorgesehen,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Antrag nach Absatz 3 in einem begrundeten Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Antrag nur in begrundetem Umfang gestellt,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung der in Absatz 3 vorgesehenen Rechte,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Antrag gemass Absatz 3,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,aussergewohnliche Umstande,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Anwendung der in Absatz 3 vorgesehenen Rechte in vollem Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung gemass Absatz 3 im Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Antrag nach Absatz 3 in einem begrundeten Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann abweichen,Umstande,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann vorubergehend davon abweichen,Anwendung der in Absatz 3 vorgesehenen Rechte in vollem Umfang,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,Vorverfahrensphase,directive_(eu)_2016_800_en.txt,-,-,-
Mitgliedsstaaten,kann davon abweichen,einzige Buhne,directive_(eu)_2016_800_en.txt,-,-,-
kompetente Autoritaten,bewirbt sich,Absatz,directive_(eu)_2016_800_en.txt,-,-,-
kompetente Autoritaten,nehmen,Interessen des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
Behorden,nehmen,Wohl des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
Behorden,nehmen,Interessen des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
Interessen des Kindes,bewirbt sich,Absatz,directive_(eu)_2016_800_en.txt,-,-,-
Behorden,bewirbt sich,Absatz,directive_(eu)_2016_800_en.txt,-,-,-
Behorden,hineinnehmen,Konto,directive_(eu)_2016_800_en.txt,-,-,-
kompetente Autoritaten,hineinnehmen,Konto,directive_(eu)_2016_800_en.txt,-,-,-
Wohl des Kindes,bewirbt sich,Absatz,directive_(eu)_2016_800_en.txt,-,-,-
kompetente Autoritaten,nehmen,Wohl des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
"Entscheidung, fortzufahren",durfen,kann durch Autoritat ubernommen werden,directive_(eu)_2016_800_en.txt,-,-,-
"Entscheidung, fortzufahren",durfen,kann von einer richterlichen Behorde ergriffen werden,directive_(eu)_2016_800_en.txt,-,-,-
"Entscheidung, fortzufahren",durfen,kann nur im Einzelfall von einer Justizbehorde getroffen werden,directive_(eu)_2016_800_en.txt,-,-,-
"Entscheidung, fortzufahren",durfen,kann im Einzelfall von der Behorde getroffen werden,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung,vorgelegt werden,Rezension,directive_(eu)_2016_800_en.txt,-,-,-
"Entscheidung, fortzufahren",durfen,kann von der Justizbehorde im Einzelfall getroffen werden,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung,Sei,eingereicht,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung weitergehen,durfen,kann von einer richterlichen Behorde ergriffen werden,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung weitergehen,durfen,kann durch Autoritat ubernommen werden,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung weitergehen,durfen,kann im Einzelfall von der Behorde getroffen werden,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung weitergehen,durfen,darf nur im Einzelfall von der Behorde getroffen werden,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung weitergehen,durfen,kann von der Justizbehorde im Einzelfall getroffen werden,directive_(eu)_2016_800_en.txt,-,-,-
"Entscheidung, fortzufahren",durfen,darf nur im Einzelfall von der Behorde getroffen werden,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung weitergehen,durfen,kann nur im Einzelfall von einer Justizbehorde getroffen werden,directive_(eu)_2016_800_en.txt,-,-,-
Entscheidung,vorgelegt werden,gerichtliche Uberprufung,directive_(eu)_2016_800_en.txt,-,-,-
Bedurfnisse,Sind,vergriffen,directive_(eu)_2016_800_en.txt,-,-,-
Bedurfnisse,werden aufgenommen,Konto,directive_(eu)_2016_800_en.txt,-,-,-
spezielle Bedurfnisse,werden aufgenommen,Konto,directive_(eu)_2016_800_en.txt,-,-,-
spezielle Bedurfnisse,Sind,vergriffen,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,sollte nehmen,Personlichkeit des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,aufnehmen soll,besondere,directive_(eu)_2016_800_en.txt,-,-,-
Personlichkeit des Kindes,wirtschaftlicher Hintergrund,Reife,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,soll aufnehmen,Konto,directive_(eu)_2016_800_en.txt,-,-,-
Personlichkeit des Kindes,individuelle Beurteilung,Reife,directive_(eu)_2016_800_en.txt,-,-,-
Personlichkeit des Kindes,Hintergrund,Reife,directive_(eu)_2016_800_en.txt,-,-,-
Personlichkeit des Kindes,Konto,Reife,directive_(eu)_2016_800_en.txt,-,-,-
Personlichkeit des Kindes,Bewertung,Reife,directive_(eu)_2016_800_en.txt,-,-,-
Personlichkeit des Kindes,wirtschaftlicher und familiarer Hintergrund,Reife,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,sollte nehmen,Personlichkeit des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,aufnehmen soll,besondere,directive_(eu)_2016_800_en.txt,-,-,-
Kind,hat,wirtschaftlicher Hintergrund,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,soll aufnehmen,Konto,directive_(eu)_2016_800_en.txt,-,-,-
Personlichkeit des Kindes,"wirtschaftlicher, sozialer und familiarer Hintergrund",Reife,directive_(eu)_2016_800_en.txt,-,-,-
Detail,Die Masse konnen je nach variieren,je nach den Umstanden des Einzelfalls,directive_(eu)_2016_800_en.txt,-,-,-
Kind,gefunden,einer Straftat schuldig gemacht,directive_(eu)_2016_800_en.txt,-,-,-
Ausmass,variieren,Mittel,directive_(eu)_2016_800_en.txt,-,-,-
Mittel,Ausmass von,Bewertung,directive_(eu)_2016_800_en.txt,-,-,-
Detail,kann je nach variieren,abhangig von den Umstanden,directive_(eu)_2016_800_en.txt,-,-,-
Kind,gefunden,einer Straftat schuldig,directive_(eu)_2016_800_en.txt,-,-,-
Ausmass,kann je nach variieren,abhangig von den Umstanden,directive_(eu)_2016_800_en.txt,-,-,-
Mittel,Ausmass von,individuelle Beurteilung,directive_(eu)_2016_800_en.txt,-,-,-
Ausmass,Die Masse konnen je nach variieren,abhangig von den Umstanden,directive_(eu)_2016_800_en.txt,-,-,-
Ausmass,Die Masse konnen je nach variieren,je nach den Umstanden des Einzelfalls,directive_(eu)_2016_800_en.txt,-,-,-
Detail,Die Masse konnen je nach variieren,abhangig von den Umstanden,directive_(eu)_2016_800_en.txt,-,-,-
Detail,variieren,Mittel,directive_(eu)_2016_800_en.txt,-,-,-
Ausmass,kann je nach variieren,je nach den Umstanden des Einzelfalls,directive_(eu)_2016_800_en.txt,-,-,-
Kind,gefunden,einer angeblichen Straftat schuldig,directive_(eu)_2016_800_en.txt,-,-,-
Detail,kann je nach variieren,je nach den Umstanden des Einzelfalls,directive_(eu)_2016_800_en.txt,-,-,-
Kind,gefunden,der angeblichen Straftat schuldig,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,etablieren in,Aufnahmevorgang in,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,soll dienen,zu etablieren,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,etablieren in,Aufnahmevorgang,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,soll dienen,grunden,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,soll dienen,grunden,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,soll dienen,zu etablieren,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,ist in,Veranstaltung zu Beginn der Verhandlung vor Gericht verfugbar,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,ist in,Veranstaltung zu Beginn der Verhandlung vor Gericht verfugbar,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,Ist,Aktualisiert,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,Ist,Aktualisiert,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,wird durchgehend aktualisiert,Verfahren,directive_(eu)_2016_800_en.txt,-,-,-
Bewertung,wird durchgehend aktualisiert,Strafverfahren,directive_(eu)_2016_800_en.txt,-,-,Strafverfahren
Bewertung,wird durchgehend aktualisiert,Verfahren,directive_(eu)_2016_800_en.txt,-,-,-
individuelle Beurteilung,wird durchgehend aktualisiert,Strafverfahren,directive_(eu)_2016_800_en.txt,-,-,Strafverfahren
Kinder,haben,Anspruch auf unverzugliche Prufung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Anspruch auf arztliche Untersuchung ohne unangemessene Verzogerung mit Blick auf,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,beurteilen,ihrem psychischen Zustand,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,Recht auf,Untersuchung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Recht auf arztliche Untersuchung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,Recht auf,medizinische Untersuchung,directive_(eu)_2016_800_en.txt,-,-,medizinische Untersuchung
Kinder,richtig ohne,Verzogerung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Recht auf unverzugliche Prufung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Recht auf unverzugliche Prufung mit Aussicht,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,beurteilen,ihrem allgemeinen psychischen Zustand,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Recht ohne unangemessene Verzogerung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Recht ohne unangemessene Verzogerung mit Ansicht,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Recht auf unverzugliche arztliche Untersuchung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,richtig ohne,unangemessene Verzogerung bei der Ansicht,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Anspruch auf Prufung ohne unangemessene Verzogerung mit Blick auf,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Recht auf Prufung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,richtig ohne,Verzogerung mit Aussicht,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,beurteilen,ihren Zustand,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Recht ohne Verzogerung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Anspruch auf unverzugliche arztliche Untersuchung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,richtig ohne,unangemessene Verzogerung,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,Anspruch auf unverzugliche arztliche Untersuchung mit Blick auf,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,beurteilen,ihrem Allgemeinzustand,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben in,besondere,directive_(eu)_2016_800_en.txt,-,-,-
unangemessene Verzogerung,ist mit,Sicht,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,haben,rechts ohne Verzogerung mit Aussicht,directive_(eu)_2016_800_en.txt,-,-,-
Kinder,habe gleich drin,besondere,directive_(eu)_2016_800_en.txt,-,-,-
Untersuchung,durchgefuhrt werden durch,Arzt,directive_(eu)_2016_800_en.txt,-,-,-
medizinische Untersuchung,durchgefuhrt werden durch,Arzt,directive_(eu)_2016_800_en.txt,medizinische Untersuchung,-,-
medizinische Untersuchung,soll,soll nichtinvasiv sein,directive_(eu)_2016_800_en.txt,medizinische Untersuchung,-,-
Untersuchung,soll,soll nichtinvasiv sein,directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,Ergebnisse von,medizinische Untersuchung,directive_(eu)_2016_800_en.txt,-,-,medizinische Untersuchung
Ergebnisse,bestimmend,Kapazitat,directive_(eu)_2016_800_en.txt,-,-,-
Ergebnisse,bestimmend,Kapazitat des Kindes,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,Ergebnisse von,medizinische Untersuchung,directive_(eu)_2016_800_en.txt,-,-,medizinische Untersuchung
Ergebnisse,soll,soll genommen werden,directive_(eu)_2016_800_en.txt,-,-,-
Ergebnisse,bestimmend,unterwerfen,directive_(eu)_2016_800_en.txt,-,-,-
andere Taten,Ergebnisse von,Untersuchung,directive_(eu)_2016_800_en.txt,-,-,-
Ergebnisse,bestimmend,einer Befragung unterziehen,directive_(eu)_2016_800_en.txt,-,-,-
Ergebnisse,soll,berucksichtigt werden,directive_(eu)_2016_800_en.txt,-,-,-
Handlungen,Ergebnisse von,Untersuchung,directive_(eu)_2016_800_en.txt,-,-,-
Ergebnisse,bestimmend,Thema,directive_(eu)_2016_800_en.txt,-,-,-
Ergebnisse,bestimmend,Gegenstand einer Befragung,directive_(eu)_2016_800_en.txt,-,-,-
Kind,hat,Rechtsanwalt,directive_(eu)_2016_800_en.txt,-,-,-
Abschluss,soll,werden aufgezeichnet,directive_(eu)_2016_800_en.txt,-,-,-
Abschluss,soll,werden schriftlich festgehalten,directive_(eu)_2016_800_en.txt,-,-,-
medizinische Assistenz,soll,bereitgestellt werden,directive_(eu)_2016_800_en.txt,-,-,-
Hilfe,soll,bereitgestellt werden,directive_(eu)_2016_800_en.txt,-,-,-
Hilfe,soll,wo soll bereitgestellt werden,directive_(eu)_2016_800_en.txt,-,-,-
medizinische Assistenz,soll,wo soll bereitgestellt werden,directive_(eu)_2016_800_en.txt,-,-,-
Das,hineinnehmen,Konto,directive_(eu)_2016_800_en.txt,-,-,-
Befragung,soll,in Ermangelung einer Aufzeichnung werden aufgezeichnet,directive_(eu)_2016_800_en.txt,-,-,-
Befragung,soll,in Ermangelung einer audiovisuellen Aufzeichnung wird aufgezeichnet,directive_(eu)_2016_800_en.txt,-,-,-
Befragung,soll,Abwesenheit wird protokolliert,directive_(eu)_2016_800_en.txt,-,-,-
Befragung,soll,werden aufgezeichnet,directive_(eu)_2016_800_en.txt,-,-,-
Artikel,soll ohne,"soll die Moglichkeit, Fragen zu stellen, beeintrachtigen",directive_(eu)_2016_800_en.txt,-,-,-
Artikel,soll ohne,soll voreingenommen sein,directive_(eu)_2016_800_en.txt,-,-,-
Artikel,soll ohne,"soll die Moglichkeit beeintrachtigen, zu fragen",directive_(eu)_2016_800_en.txt,-,-,-
Konto,soll,soll genommen werden,directive_(eu)_2016_800_en.txt,-,-,-
Konto,soll,wird als volljahrig angesehen,directive_(eu)_2016_800_en.txt,-,-,-
Konto,soll,Falligkeit wird volljahrig berucksichtigt,directive_(eu)_2016_800_en.txt,-,-,-
Konto,soll,der fallige Betrag wird eingezogen,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,Sei,verhangt,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,Sei,Kindern als Mass auferlegt,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,Sei,Kindern als Mass der Erholung auferlegt,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,Sei,Kindern nur als letztes Mittel auferlegt,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,verhangt werden als,nur messen,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,verhangt werden als,Mass des Resorts,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,verhangt werden als,einzige Massnahme des letzten Auswegs,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,ist in,besondere Haft,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,Sei,Kindern nur als Massnahme auferlegt,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,auferlegt werden,Kinder,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,Sei,Kindern nur als Mass auferlegt,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,verhangt werden als,einziges Mass des Resorts,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,verhangt werden als,messen,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,Sei,wird Kindern als letztes Mittel auferlegt,directive_(eu)_2016_800_en.txt,-,-,-
Entbehrung,verhangt werden als,Mass des letzten Auswegs,directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,begrundete Entscheidung,directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,Entscheidungssubjekt,directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,"begrundete Entscheidung, die einer gerichtlichen Uberprufung unterliegt",directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,begrundete Entscheidung Gegenstand,directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,Entscheidung unterliegt der gerichtlichen Uberprufung,directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,"begrundete Entscheidung, die der gerichtlichen Uberprufung durch das Gericht unterliegt",directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,Entscheidung,directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,begrundete Entscheidung unterliegt der gerichtlichen Uberprufung,directive_(eu)_2016_800_en.txt,-,-,-
Festnahme,basiert auf,Entscheidung unterliegt der gerichtlichen Uberprufung,directive_(eu)_2016_800_en.txt,-,-,-
