ID,EN,FR,DE
3832,special steels,aciers speciaux,sonderstahle
3833,saint lucia,sainte-lucie,st. lucia
3834,antimony,antimoine,antimon
3835,beryllium,beryllium,beryllium
3836,cadmium,cadmium,kadmium
3837,ferro-alloy,ferro-alliage,ferrolegierung
3838,tantalum,tantale,tantal
3839,seizure of goods,saisie de biens,pfandung
3840,cycle and motorcycle industry,cycle et motocycle,zweiradindustrie
3841,tool industry,outillage,maschinenwerkzeug
3842,scientific apparatus,appareil scientifique,wissenschaftliches gerat
3843,pay,salaire,lohn und gehalt
3844,medical device,materiel medical,medizintechnische ausrustung
3845,piece work pay,salaire au rendement,leistungslohn
3846,cold store,installation frigorifique,kuhlanlage
3847,hourly wage,salaire horaire,stundenlohn
3848,industrial robot,robot industriel,industrieroboter
3849,wages for housework,salaire menager,hausfrauengehalt
3850,minimum pay,salaire minimal,mindestlohn
3851,pump,pompe,pumpe
3853,iata,iata,iata
3854,wage earner,salarie,arbeitnehmer
3855,audiovisual equipment,materiel audiovisuel,audio- und videogerat
3856,sound reproduction equipment,appareil de reproduction du son,tonwiedergabegerat
3857,solomon islands,iles salomon,die salomonen
3858,samoa,samoa,samoa
3859,electric cable,cable electrique,elektrokabel
3860,telecommunications equipment,materiel de telecommunication,fernmeldegerat
3861,household electrical appliance,appareil electrodomestique,elektrohaushaltsgerat
3862,administrative penalty,sanction administrative,disziplinarmassnahme
3863,industrial electric machinery,machine electrique industrielle,industrielle elektromaschine
3864,electric machinery,machine electrique,elektromaschine
3865,electro-magnetic equipment,materiel electromagnetique,elektromagnetisches material
3866,community sanction,sanction communautaire,gemeinschaftssanktion
3867,video disc,videodisque,videoplatte
3868,video cassette,videocassette,videokassette
3869,recording medium,support d'enregistrement,speichermedium
3870,economic sanctions,sanction economique,wirtschaftssanktion
3871,record,disque,schallplatte
3872,optical medium,support optique,optischer datentrager
3873,recording,support enregistre,beschriebenes speichermedium
3874,apparatus based on the use of rays,appareil a radiations,strahlengerat
3875,radio telecommunications,telecommunication sans fil,drahtlose nachrichtenubermittlung
3876,microelectronics,microelectronique,mikroelektronik
3878,penalty,sanction penale,strafmassnahme
3879,building industry,industrie du batiment,bauindustrie
3880,prefabrication,prefabrication,fertigbauweise
3881,building slab,panneau de construction,bauplatte
3882,large-scale construction,grands travaux,offentliche grossbauvorhaben
3883,paperboard,carton,pappe
3884,bonded wood,bois agglomere,verdichtetes holz
3885,public health,sante publique,volksgesundheit
3886,fancy leather goods and glove-making industry,maroquinerie ganterie,lederwaren- und handschuhindustrie
3887,hides and furskins industry,pelleterie,pelz- und fellindustrie
3888,sao tome and principe,sao tome e principe,sao tome und principe
3890,haberdashery,mercerie,kurzwaren
3891,sardinia,sardaigne,sardinien
3892,man-made fibre,textile synthetique,synthesefaser
3893,natural fibre,textile naturel,naturfaser
3895,miscellaneous industries,industrie diverse,verschiedene industriezweige
3896,private limited company,societe a responsabilite limitee,gesellschaft mit beschrankter haftung
3897,jewellery and goldsmith's articles,bijouterie orfevrerie,schmuck- und goldwarenerzeugung
3898,buckwheat,sarrasin,buchweizen
3899,social rights,droits sociaux,soziale rechte
3900,political rights,droits politiques,politische grundrechte
3901,economic rights,droits economiques,wirtschaftliche rechte
3902,charter on human rights,charte des droits de l'homme,charta der menschenrechte
3903,saarland,sarre,saarland
3904,atheism,atheisme,atheismus
3905,satellite,satellite,satellit
3906,freedom of movement,liberte de circulation,freizugigkeit
3907,job satisfaction,satisfaction au travail,zufriedenheit am arbeitsplatz
3908,anti-discriminatory measure,lutte contre la discrimination,kampf gegen die diskriminierung
3909,know-how,savoir-faire,know-how
3910,ethnic discrimination,discrimination ethnique,ethnische diskriminierung
3911,sexual freedom,liberte sexuelle,sexuelle freiheit
3912,xenophobia,xenophobie,fremdenhass
3913,equality between men and women,egalite homme-femme,gleichheit von mann und frau
3914,academic freedom,liberte de l'enseignement,freiheit der lehre
3915,right to development,droit au developpement,recht auf wirtschaftliche entfaltung
3916,children's rights,droits de l'enfant,rechte des kindes
3917,cruel and degrading treatment,traitement cruel et degradant,grausame und erniedrigende behandlung
3918,schleswig-holstein,schleswig-holstein,schleswig-holstein
3919,child protection,protection de l'enfance,jugendschutz
3920,crime against humanity,crime contre l'humanite,verbrechen gegen die menschlichkeit
3921,retroactivity of a law,retroactivite de la loi,ruckwirkende kraft des gesetzes
3922,comparative law,droit compare,rechtsvergleichung
3923,administrative science,science administrative,verwaltungswissenschaft
3924,local legislation,legislation locale,lokale gesetzgebung
3925,information science,science de l'information,informationswissenschaft
3926,civil liability,responsabilite civile,zivilrechtliche haftung
3927,contractual liability,responsabilite contractuelle,vertragliche haftung
3928,behavioural sciences,sciences du comportement,verhaltenswissenschaften
3929,ownership,propriete des biens,eigentum an gutern
3930,atlas,atlas,atlas
3931,soil science,science des sols,bodenkunde
3932,privatisation,privatisation,privatisierung
3933,economics,science economique,wirtschaftswissenschaft
3934,inheritance,heritage,erbschaft
3935,legal science,science juridique,rechtswissenschaft
3936,law of succession,droit successoral,erbrecht
3937,time-sharing,multipropriete,mehrfacheigentum
3938,easement,servitude,grunddienstbarkeiten
3939,enjoyment of rights,jouissance des droits,genuss der rechte
3940,legal domicile,domicile legal,gesetzlicher wohnsitz
3941,life sciences,sciences de la vie,biologische naturwissenschaften
3942,financial solvency,solvabilite financiere,zahlungsfahigkeit
3943,crime against individuals,crime contre les personnes,verbrechen gegen personen
3944,crime against property,crime contre les biens,vermogensdelikte
3945,illegal restraint,sequestration de personnes,freiheitsberaubung
3946,physical sciences,sciences physiques,exakte naturwissenschaften
3947,political science,science politique,politische wissenschaft
3948,customs fraud,fraude douaniere,zollbetrug
3949,applied sciences,sciences appliquees,angewandte wissenschaften
3950,defamation,diffamation,verleumdung
3951,tax offence,delit fiscal,steuerstraftat
3952,earth sciences,sciences de la terre,geowissenschaften
3953,imprisonment,emprisonnement,inhaftierung
3954,law relating to prisons,droit penitentiaire,strafvollzugsrecht
3955,prisoner,detenu,haftling
3956,social sciences,sciences sociales,sozialwissenschaften
3957,alternative sentence,peine de substitution,ersatzstrafe
3958,conditional discharge,semi-liberte,offener strafvollzug
3959,confiscation of property,confiscation de biens,beschlagnahme
3960,reduction of sentence,allegement de peine,strafminderung
3961,transfer of prisoners,transferement de detenus,haftlingsverlegung
3962,prison system,regime penitentiaire,haftordnung
3963,prison administration,administration penitentiaire,verwaltung einer justizvollzugsanstalt
3964,political split,scission politique,politische spaltung
3965,limitation of legal proceedings,prescription d'action,verfolgungsverjahrung
3966,legal hearing,audience judiciaire,gerichtliche anhorung
3967,atmosphere,atmosphere,atmosphare
3968,schooling,scolarisation,einschulung
3969,legal aid,aide judiciaire,prozesskostenhilfe
3970,arrest,arrestation,festnahme
3971,judicial inquiry,enquete judiciaire,gerichtliche untersuchung
3972,search,perquisition,durchsuchung
3973,detention before trial,detention provisoire,untersuchungshaft
3974,rights of the defence,droits de la defense,rechte der verteidigung
3975,double-ballot voting system,scrutin a deux tours,wahl mit zwei wahlgangen
3976,single-ballot system,scrutin a un tour,wahl mit einem wahlgang
3977,list voting system,scrutin de liste,listenwahl
3978,ec action to establish liability,recours en responsabilite ce,eg-amtshaftungsklage
3979,action by staff,recours du personnel,verwaltungsbeschwerde der bediensteten
3980,reference to the ec court of justice for a preliminary ruling,renvoi prejudiciel ce,vorlage zur vorabentscheidung eg
3981,majority voting system,scrutin majoritaire,mehrheitswahl
3982,uninominal voting system,scrutin uninominal,wahl in einmandatswahlkreisen
3983,commercial court,juridiction commerciale,handelsgerichtsbarkeit
3984,parliamentary sitting,seance parlementaire,parlamentssitzung
3985,court of arbitration,juridiction arbitrale,schiedsgerichtsbarkeit
3986,international court,juridiction internationale,internationale gerichtsbarkeit
3987,fiscal court,juridiction fiscale,finanzgerichtsbarkeit
3988,drought,secheresse,durre
3989,legal adviser,conseiller juridique,rechtsbeistand
3990,lay magistrate,magistrat non professionnel,laienrichter
3992,maritime area,espace maritime,maritimer raum
3993,threat to national security,atteinte a la surete de l'etat,gefahrdung der staatssicherheit
3994,banking secrecy,secret bancaire,bankgeheimnis
3995,maritime surveillance,surveillance maritime,uberwachung der meere
3996,freedom of the seas,liberte des mers,freiheit der meere
3997,industrial secret,secret industriel,industriegeheimnis
3998,extra-atmospheric space,espace extra-atmospherique,weltraum
3999,space property right,propriete de l'espace,besitz im weltraum
4000,professional secret,secret professionnel,berufsgeheimnis
4001,use of outer space,utilisation de l'espace,nutzung des weltraums
4002,un secretariat,secretariat de l'onu,sekretariat der vereinten nationen
4003,foreign national,ressortissant etranger,auslandischer staatsangehoriger
4004,residence permit,droit de sejour,aufenthaltsrecht
4005,admission of aliens,admission des etrangers,einreise von auslandern
4006,economic sector,secteur economique,wirtschaftsbereich
4007,mixed marriage,mariage mixte,mischehe
4008,primary sector,secteur primaire,primarer sektor
4009,international law - national law,droit international-droit interne,internationales recht/innerstaatliches recht
4010,international economic law,droit international economique,internationales wirtschaftsrecht
4011,administrative responsibility,responsabilite administrative,verantwortlichkeit der verwaltung
4012,public economic law,droit public economique,wirtschaftsverwaltungsrecht
4013,quaternary sector,secteur quaternaire,quartarer sektor
4014,ec decision,decision ce,entscheidung eg
4015,ec directive,directive ce,richtlinie eg
4016,secondary sector,secteur secondaire,sekundarer sektor
4017,community legal system,ordre juridique communautaire,rechtsordnung der gemeinschaft
4018,secondary legislation,droit derive,abgeleitetes recht
4019,eaec directive,directive ceea,richtlinie eag
4020,ec recommendation,recommandation ce,empfehlung eg
4021,tertiary sector,secteur tertiaire,tertiarer sektor
4022,ec regulation,reglement ce,verordnung der gemeinschaft
4023,implementing regulation,reglement d'application,durchfuhrungsverordnung
4024,eaec opinion,avis ceea,stellungnahme eag
4025,security of supply,securite d'approvisionnement,sicherung der versorgung
4026,ecsc opinion,avis ceca,stellungnahme egks
4027,opinion of the ec court of justice,avis cour de justice ce,stellungnahme des gerichtshofs eg
4028,social-security harmonisation,harmonisation des securites sociales,harmonisierung der sozialversicherung
4029,job security,securite de l'emploi,beschaftigungssicherheit
4030,ec external competence,competence externe ce,externe zustandigkeit eg
4031,ec protocol,protocole ce,protokoll eg
4032,merger treaty,traite de fusion,fusionsvertrag
4033,transport safety,securite des transports,transportsicherheit
4034,single european act,acte unique europeen,einheitliche europaische akte
4035,ec accession treaty,traite d'adhesion ce,beitrittsvertrag eg
4036,product safety,securite du produit,sicherheit des produkts
4037,eaec joint undertaking,entreprise commune ceea,gemeinsames unternehmen eag
4038,european commission,commission europeenne,europaische kommission
4039,occupational safety,securite du travail,arbeitssicherheit
4040,eu relations,relation de l'union europeenne,beziehungen der union
4041,acp-ec council of ministers,conseil des ministres acp-ce,ministerrat akp-eg
4042,nuclear safety,securite nucleaire,nukleare sicherheit
4043,member of the ec court of justice,membre cour de justice ce,mitglied des gerichtshofs eg
4044,european commissioner,commissaire europeen,europaischer kommissar
4045,public safety,securite publique,offentliche sicherheit
4046,european association for cooperation,association europeenne pour la cooperation,europaische vereinigung fur kooperation
4047,road safety,securite routiere,sicherheit im strassenverkehr
4048,ec association agreement,accord d'association ce,assoziationsabkommen eg
4049,acp-ec convention,convention acp-ce,abkommen akp-eg
4050,social security,securite sociale,soziale sicherheit
4051,acp-ec committee of ambassadors,comite des ambassadeurs acp-ce,botschafterausschuss akp-eg
4052,acp-ec joint committee,comite paritaire acp-ce,paritatischer ausschuss akp-eg
4053,third lome convention,convention de lome iii,abkommen von lome iii
4054,eures,eures,eures
4055,edf,fed,eef
4056,european social fund,fonds social europeen,europaischer sozialfonds
4057,enlargement of the union,elargissement de l'union europeenne,erweiterung der europaischen union
4058,housing allocation,attribution de logement,wohnungszuteilung
4059,rye,seigle,roggen
4060,european union,union europeenne,europaische union
4061,history of europe,histoire de l'europe,geschichte des europaischen einigungswerks
4062,chemical salt,sel chimique,chemisches salz
4063,european union membership,appartenance a l'union europeenne,mitgliedschaft in der europaischen union
4064,latin american economic system,systeme economique latino-americain,lateinamerikanisches wirtschaftssystem
4065,joint position,position commune,gemeinschaftliche position
4066,joint action,action commune,gemeinsames handeln
4068,treaty on european union,traite sur l'union europeenne,vertrag uber die europaische union
4069,laes countries,pays du sela,sela-staaten
4070,european political cooperation,cooperation politique europeenne,europaische politische zusammenarbeit
4071,ec competition,concours ce,allgemeines auswahlverfahren eg
4072,selection of pupils,selection des eleves,schulerauslese
4073,supplementary trade mechanism,mecanisme complementaire aux echanges,erganzender mechanismus
4074,risk prevention,prevention des risques,verhutung von gefahren
4075,natural hazard,risque naturel,naturgefahren
4076,industrial hazard,risque industriel,industriegefahren
4077,economic liberalism,liberalisme economique,wirtschaftsliberalismus
4078,customs duties,droits de douane,zollsatz
4079,customs inspection,controle de douane,zollkontrolle
4080,cct duties,droits du tdc,zollsatz des gzt
4081,seed,semence,saatgut
4082,weights and measures,poids et mesures,masse und gewichte
4083,preserved product,produit en conserve,konservenerzeugnis
4084,semi-metal,semi-metal,halbmetall
4085,irradiation,irradiation,bestrahlung
4086,subsistence level income,revenu minimal d'existence,existenzminimum
4087,personal weapon,arme personnelle,privatwaffe
4088,meal,semoule,feingriess
4089,patronage,mecenat,mazenatentum
4090,administrative competition,concours administratif,auswahlverfahren
4091,public hearing,audition publique,offentliche anhorung
4092,senegal,senegal,senegal
4093,separation of powers,separation des pouvoirs,gewaltentrennung
4094,psychoanalysis,psychanalyse,psychoanalyse
4095,sericulture,sericiculture,seidenraupenzucht
4096,visual arts,arts visuels,visuelle kunst
4097,cultural pluralism,pluralisme culturel,kulturelle vielfalt
4098,customs and traditions,coutumes et traditions,sitten und gebrauche
4099,service,service,dienstleistung
4100,architectural heritage,patrimoine architectural,architektonisches erbe
4101,church,eglise,kirche
4102,anthem,hymne,hymne
4103,flag,drapeau,flagge
4104,after-sales service,service apres-vente,kundendienst
4105,literary and artistic property,propriete litteraire et artistique,literarisches und kunstlerisches eigentum
4106,alternative service,service civil,zivildienst
4107,aerodynamics,aerodynamique,aerodynamik
4108,thermodynamics,thermodynamique,thermodynamik
4109,plasma physics,physique du plasma,plasmaphysik
4110,laser physics,physique des lasers,laserphysik
4111,genetic engineering,genie genetique,gentechnologie
4112,painting,peinture,malerei
4113,employment service,service d'emploi,arbeitsvermittlungsstelle
4114,release on licence,liberation conditionnelle,bedingte haftentlassung
4115,capital increase,augmentation de capital,kapitalerhohung
4116,health service,service de sante,gesundheitsdienst
4117,agricultural situation,situation de l'agriculture,lage der landwirtschaft
4118,post office financial services,services financiers de la poste,postgelddienste
4119,promulgation of a law,promulgation de la loi,ausfertigung des gesetzes
4120,financial interests of members,interet financier des membres,kapitaleinkunfte der abgeordneten
4121,arab-african cooperation,cooperation arabo-africaine,arabisch-afrikanische zusammenarbeit
4122,free service,service gratuit,unentgeltliche dienstleistung
4123,euro-arab cooperation,cooperation euro-arabe,europaisch-arabische zusammenarbeit
4124,commission delegation,delegation de la commission,abordnung der kommission
4125,community control,controle communautaire,gemeinschaftskontrolle
4126,principle of additionality,principe d'additionnalite,zusatzlicher charakter der beihilfe
4127,national service,service national,wehrdienst
4128,peripheral region,region peripherique,randgebiet
4129,island region,region insulaire,inselgebiet
4130,most favoured nation,nation la plus favorisee,meistbegunstigung
4131,payable service,service payant,dienstleistung gegen entgelt
4132,subsidiary budget,budget annexe,haushaltsplan der unternehmen im staatsbesitz
4133,postal service,service postal,postdienst
4134,multilingual dictionary,dictionnaire multilingue,mehrsprachiges worterbuch
4135,dictionary of abbreviations,dictionnaire d'abreviations,abkurzungsworterbuch
4136,public service,service public,offentliche dienststelle
4137,encyclopaedia,encyclopedie,enzyklopadie
4138,thesaurus,thesaurus,thesaurus
4139,periodical publication,revue periodique,periodische veroffentlichung
4140,secret service,service secret,geheimdienst
4141,domestic waste,dechet menager,hausmull
4142,single-crop farming,monoculture,monokultur
4143,social services,service social,sozialamt
4144,newspaper,journal,zeitung
4145,sesame,sesame,sesam
4146,price increase,augmentation des prix,preissteigerung
4147,parliamentary session,session parlementaire,sitzungsperiode des parlaments
4148,seychelles,seychelles,seychellen
4149,international finance corporation,societe financiere internationale,internationale finanz-corporation
4151,university,universite,universitat
4152,transport of animals,transport d'animaux,tiertransport
4153,associative movement,mouvement associatif,genossenschaftsbewegung
4155,sicily,sicile,sizilien
4156,stationing of forces,stationnement des forces,truppenstationierung
4157,parliamentary seat,siege parlementaire,parlamentssitz
4158,head office,siege social,unternehmenssitz
4159,vacant seat,siege vacant,frei gewordener sitz
4160,australia,australie,australien
4161,sierra leone,sierra leone,sierra leone
4162,traffic signs,signalisation,verkehrszeichengebung
4163,pet food,aliment pour animal de compagnie,nahrung fur kleinhaustiere
4164,singapore,singapour,singapur
4165,acid rain,pluie acide,saurer regen
4166,insurance claim,sinistre,schadensfall
4167,town-planning profession,profession de l'urbanisme,stadtplaner
4168,documentary tool,outil documentaire,dokumentationswerkzeug
4169,non-woven fabric,textile non tisse,vliesstoff
4170,syrup,sirop,sirup
4171,aegean islands,iles de la mer egee,agaische inseln
4172,canary islands,canaries,kanarische inseln
4173,sisal,sisal,sisal
4174,bureau of the ep,bureau du pe,prasidium des europaischen parlaments
4175,president of an institution,president d'une institution,prasident einer institution
4176,seismology,sismologie,seismik
4177,vice-president of an institution,vice-president d'une institution,vizeprasident einer institution
4178,secretary general of an institution,secretaire general d'une institution,generalsekretar einer institution
4179,institutional activity,vie institutionnelle,bestehen der institution
4180,seat of community institution,siege de l'institution,sitz der institution
4181,institutional reform,reforme institutionnelle,institutionelle reform
4182,competence of the institution,competence institutionnelle,institutionelle zustandigkeit
4183,eu situation,situation de l'union europeenne,lage der europaischen union
4184,marital status,situation de famille,familienstand
4185,space policy,politique spatiale,weltraumpolitik
4186,self-supply,autoapprovisionnement,selbstversorgung
4187,financial situation,situation financiere,finanzlage
4188,socialism,socialisme,sozialismus
4189,organisation,societe,gesellschaft
4190,public limited company,societe anonyme,aktiengesellschaft
4191,company constituted under civil law,societe de droit civil,gesellschaft des burgerlichen rechts
4192,professional partnership,societe civile professionnelle,gemeinschaftspraxis
4193,firm governed by commercial law,societe commerciale,handelsgesellschaft
4194,mixed-ownership company,societe d'economie mixte,gemischtwirtschaftliche gesellschaft
4195,investment company,societe d'investissement,kapitalanlagegesellschaft
4196,company with share capital,societe de capitaux,kapitalgesellschaft
4197,bus,autobus,omnibus
4198,consumer society,societe de consommation,konsumgesellschaft
4199,partnership,societe de personnes,offene handelsgesellschaft
4200,limited partnership,societe en commandite,kommanditgesellschaft
4201,undisclosed partnership,societe en participation,stille gesellschaft
4202,european company,societe europeenne,europaische gesellschaft
4203,parent company,societe mere,muttergesellschaft
4204,non-profit organisation,societe sans but lucratif,gesellschaft ohne gewinnzweck
4205,sociology,sociologie,soziologie
4207,silk,soie,seide
4208,own consumption,autoconsommation,eigenverbrauch
4209,care of the disabled,soins aux invalides,betreuung von pflegebedurftigen
4210,soya bean,soja,soja
4211,solvent,solvant,losungsmittel
4212,somalia,somalie,somalia
4213,sample survey,sondage,stichprobenuntersuchung
4214,opinion poll,sondage d'opinion,meinungsumfrage
4215,sorghum,sorgho,sorghum
4216,self-determination,autodetermination,selbstbestimmung
4217,sudan,soudan,sudan
4218,sulphur,soufre,schwefel
4219,tendering,soumission d'offres,angebotseinreichung
4220,source of information,source d'information,informationsquelle
4221,source of aid,source de l'aide,ursprung der hilfe
4222,source of law,source du droit,rechtsquelle
4223,underdevelopment,sous-developpement,unterentwicklung
4224,by-product,sous-produit,nebenerzeugnis
4225,agricultural by-product,sous-produit agricole,landwirtschaftliches nebenerzeugnis
4226,self-financing,autofinancement,selbstfinanzierung
4227,milk by-product,sous-produit du lait,milchnebenerzeugnis
4228,metal by-product,sous-produit metallique,metallnebenerzeugnis
4229,sub-proletariat,sous-proletariat,lumpenproletariat
4230,undernourishment,sous-alimentation,unterernahrung
4231,underpopulation,sous-peuplement,untervolkerung
4232,subcontracting,sous-traitance,weitervergabe an nachunternehmer
4233,self-management,autogestion,selbstverwaltung
4234,breadwinner,soutien de famille,ernahrer der familie
4235,price support,soutien des prix,preisstutzung
4236,farm price support,soutien des prix agricoles,agrarpreisstutzung
4237,monetary support,soutien monetaire,wahrungsbeistand
4238,national sovereignty,souverainete nationale,staatssouveranitat
4239,product specialisation,specialisation de la production,spezialisierung der produktion
4240,specialisation of trade,specialisation des echanges,spezialisierung des handels
4241,budgetary specification,specialite budgetaire,sachliche spezialitat des budgets
4242,voluntary restraint,autolimitation,selbstbeschrankung
4243,building speculation,speculation immobiliere,bodenspekulation
4245,sport,sport,sport
4246,sri lanka,sri lanka,sri lanka
4247,stabex,stabex,stabex
4248,price stability,stabilite des prix,preisstabilitat
4249,income stabilisation,stabilisation des revenus,stabilisierung der einkommen
4250,economic stabilisation,stabilisation economique,stabilisierung der wirtschaft
4251,indoor livestock farming,stabulation,stallhaltung
4252,interprofessional agreement,accord interprofessionnel,branchenvereinbarung
4253,automation,automatisation,automatisierung
4254,economic stagnation,stagnation economique,stagnation der wirtschaft
4255,experimental farm,station experimentale,landwirtschaftliche versuchsanstalt
4256,statistics,statistique,statistik
4257,agricultural statistics,statistique agricole,agrarstatistik
4258,community statistics,statistique communautaire,statistik der gemeinschaft
4259,population statistics,statistique demographique,bevolkerungsstatistik
4260,fishing statistics,statistique des peches,fischereistatistik
4261,motor car,automobile,automobil
4262,economic statistics,statistique economique,wirtschaftsstatistik
4263,financial statistics,statistique financiere,finanzstatistik
4264,industrial statistics,statistique industrielle,industriestatistik
4265,international statistics,statistique internationale,internationale statistik
4266,national statistics,statistique nationale,nationale statistik
4267,official statistics,statistique officielle,amtliche statistik
4268,regional statistics,statistique regionale,regionalstatistik
4269,status of berlin,statut de berlin,berlin-status
4270,status of jerusalem,statut de jerusalem,jerusalem-status
4271,regulations for civil servants,statut du fonctionnaire,beamtenstatut
4272,autonomy,autonomie,autonomie
4273,staff regulations,statut du personnel,personalstatut
4274,legal status,statut juridique,rechtsstellung
4275,political status,statut politique,politischer status
4276,occupational status,statut professionnel,beruflicher status
4277,social status,statut social,sozialer status
4278,sterilisation,sterilisation,sterilisation
4279,tax incentive,stimulant fiscal,steueranreiz
4280,stock,stock,lager
4281,community stock,stock communautaire,lagerbestande der gemeinschaft
4282,financial autonomy,autonomie financiere,finanzautonomie
4283,economic contingency stock,stock conjoncturel,konjunkturelle lagerbestande
4284,intervention stock,stock d'intervention,interventionsbestande
4285,surplus stock,stock excedentaire,uberhohte lagerbestande
4286,minimum stock,stock minimal,mindestlagerbestande
4287,world stock,stock mondial,weltlagerbestande
4288,private stock,stock prive,privates lager
4289,public stock,stock public,offentliches lager
4290,buffer stock,stock regulateur,ausgleichsvorrat
4291,storage,stockage,lagerung
4292,stockpiling of weapons,stockage d'armes,waffenlagerung
4293,energy storage,stockage de l'energie,energiespeicherung
4294,storage of food,stockage des aliments,lebensmittellagerung
4295,document storage,stockage documentaire,speicherung von dokumenten
4298,agricultural structure,structure agricole,agrarstruktur
4299,employment structure,structure de l'emploi,beschaftigungsstruktur
4300,company structure,structure de l'entreprise,unternehmensstruktur
4301,budget authorisation,autorisation budgetaire,haushaltsermachtigung
4302,economic structure,structure economique,wirtschaftsstruktur
4303,industrial structures,structure industrielle,industriestruktur
4304,institutional structure,structure institutionnelle,institutionelle struktur
4305,social structure,structure sociale,sozialstruktur
4306,narcotic,stupefiant,betaubungsmittel
4307,carcinogenic substance,substance cancerigene,krebserzeugender stoff
4308,dangerous substance,substance dangereuse,gefahrlicher stoff
4309,restrictive-practice authorisation,autorisation d'entente,kartellgenehmigung
4310,export subsidy,subvention a l'exportation,ausfuhrsubvention
4311,food substitute,succedane d'aliment,ersatzlebensmittel
4312,transfer of farms,succession de l'exploitation agricole,weiterfuhrung landwirtschaftlicher betriebe
4313,branch,succursale,zweigniederlassung
4314,sugar,sucre,zucker
4315,white sugar,sucre blanc,weisszucker
4316,raw sugar,sucre brut,rohzucker
4317,beet sugar,sucre de betterave,rubenzucker
4318,transport authorisation,autorisation de transport,transportgenehmigung
4319,cane sugar,sucre de canne,rohrzucker
4320,sweden,suede,schweden
4321,votes cast,suffrage exprime,abgegebene gultige stimme
4322,universal suffrage,suffrage universel,allgemeines wahlrecht
4323,suicide,suicide,freitod
4324,switzerland,suisse,die schweiz
4325,sulawesi,sulawesi,sulawesi
4326,sumatra,sumatra,sumatra
4327,utilised agricultural area,superficie agricole utilisee,landwirtschaftlich genutzte flache
4328,alternate,suppleant,stellvertretendes mitglied
4329,additional duty,supplement tarifaire,preisaufschlag
4330,information medium,support d'information,informationstrager
4331,magnetic medium,support magnetique,magnetischer informationstrager
4332,job cuts,suppression d'emploi,stellenabbau
4333,abolition of customs duties,suppression des droits de douane,abschaffung der zolle
4334,supranationality,supranationalite,uberstaatlichkeit
4335,over-exploitation of resources,surexploitation des ressources,ubermassige nutzung der ressourcen
4336,wooded area,surface boisee,waldflache
4337,area of holding,surface d'exploitation,landwirtschaftliche betriebsflache
4338,grassland,surface en herbe,grunland
4339,main acreage,surface principale,landwirtschaftliche hauptflache
4340,deep-freezing,surgelation,tiefgefrieren
4341,breeder reactor,surregenerateur,brutreaktor
4342,surinam,suriname,suriname
4343,overpopulation,surpopulation,ubervolkerung
4344,monetary agreement,accord monetaire,wahrungsabkommen
4345,motorway,autoroute,autobahn
4346,over-production,surproduction,uberproduktion
4347,market supervision,surveillance du marche,marktuberwachung
4348,suspension of aid,suspension de l'aide,aussetzung der hilfe
4349,suspension of sentence,suspension de peine,strafaussetzung
4350,suspension of customs duties,suspension des droits de douane,aussetzung der zollsatze
4351,swaziland,swaziland,swasiland
4352,silviculture,sylviculture,waldbau
4353,austria,autriche,osterreich
4354,syria,syrie,syrien
4355,sysmin,sysmin,sysmin
4356,banking system,systeme bancaire,banksystem
4357,educational system,systeme d'enseignement,schulsystem
4358,farming system,systeme d'exploitation agricole,landwirtschaftliches betriebssystem
4359,information system,systeme d'information,informationssystem
4360,management information system,systeme d'information de gestion,management-informationssystem
4361,communications systems,systeme de communication,kommunikationssystem
4362,accounting system,systeme de comptabilite,kontenrahmen
4363,cultivation system,systeme de culture,anbausystem
4364,auvergne,auvergne,auvergne
4365,un programmes and funds,programmes et fonds de l'onu,programme und fonds der vn
4366,information service,systeme documentaire,dokumentationssystem
4367,electoral system,systeme electoral,wahlsystem
4368,european electoral system,systeme electoral europeen,europaisches wahlsystem
4369,european accounting system,systeme europeen de comptabilite,europaischer kontenrahmen
4370,european monetary system,systeme monetaire europeen,europaisches wahrungssystem
4371,international monetary system,systeme monetaire international,internationales wahrungssystem
4372,standardised accounting system,systeme normalise de comptabilite,vereinheitlichter kontenrahmen
4373,tobacco,tabac,tabak
4374,smoking,tabagisme,nikotinsucht
4375,taiwan,taiwan,taiwan
4376,tanzania,tanzanie,die vereinigte republik tansania
4377,carpet,tapis,teppich
4378,air freight rate,tarif aerien,luftbeforderungstarif
4379,transportation tariff,tarif de transport,beforderungstarif
4380,customs tariff,tarif douanier,zolltarif
4381,common customs tariff,tarif douanier commun,gemeinsamer zolltarif
4382,railway tariff,tarif ferroviaire,eisenbahntarif
4383,advance,avance de tresorerie,vorschuss der staatskasse
4384,postal charges,tarif postal,posttarif
4385,tariff preference,tarif preferentiel,praferenzzoll
4386,passenger tariff,tarif voyageur,personentarif
4387,charges for use of infrastructure,tarification de l'infrastructure,nutzungstarif
4388,bull,taureau,bulle
4389,self-sufficiency rate,taux d'autoapprovisionnement,selbstversorgungsgrad
4390,exchange rate,taux de change,wechselkurs
4391,preliminary draft budget,avant-projet de budget,vorentwurf des haushaltsplans
4392,vat rate,taux de tva,mwst.-satz
4393,floating rate,taux flottant,flexibler wechselkurs
4394,central rate,taux pivot,leitkurs
4395,representative rate,taux representatif,reprasentativer kurs
4397,assessment of prices,taxation des prix,staatliche preisfestsetzung
